Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,WinRate,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
V1_MaxTrades_6_JPY_2_AUD_3,StrictIS_2015_2024,9605,500000.0,1610319280828.0,1610318780828.0,322063756.17,254700021321.0,31.78,6.32,54.21,1.362,-14.59,48.37,3.22
V1_MaxTrades_6_JPY_2_AUD_3,StrictOOS_2025_2026Q1,1198,1610319280828.0,8062182878136.0,6451863597309.0,400.66,1493730597054.0,29.41,4.32,53.01,1.244,-12.76,34.13,2.87
V1_MaxTrades_6_JPY_2_AUD_3,Q1_2026,256,7565043918420.0,8062182878136.0,497138959717.0,6.57,1493730597054.0,16.19,0.33,50.39,1.045,-11.6,13.87,0.65
V1_MaxTrades_6_JPY_3_AUD_2,Full_2015_2026Q1,10962,500000.0,20776490193560.0,20776489693560.0,4155297938.71,2730463829588.0,31.27,7.61,53.69,1.313,-16.4,49.94,3.38
V1_MaxTrades_6_JPY_3_AUD_2,StrictIS_2015_2024,9748,500000.0,3404497736751.0,3404497236751.0,680899447.35,282179602963.0,31.27,12.07,53.7,1.514,-16.4,49.94,3.4
V1_MaxTrades_6_JPY_3_AUD_2,StrictOOS_2025_2026Q1,1214,3404497736751.0,20776490193560.0,17371992456809.0,510.27,2730463829588.0,25.57,6.36,53.54,1.291,-12.06,34.9,3.18
V1_MaxTrades_6_JPY_3_AUD_2,Q1_2026,251,17536185101462.0,20776490193560.0,3240305092099.0,18.48,2730463829588.0,13.32,1.19,52.99,1.125,-5.29,14.06,1.41
V1_MaxTrades_6_JPY_3_AUD_3,Full_2015_2026Q1,11892,500000.0,79003390340662.0,79003389840662.0,15800677968.13,13304315873792.0,32.63,5.94,54.0,1.282,-16.4,51.4,3.64
V1_MaxTrades_6_JPY_3_AUD_3,StrictIS_2015_2024,10615,500000.0,12101846313878.0,12101845813878.0,2420369162.78,1176361442986.0,32.63,10.29,54.06,1.455,-16.4,51.4,3.68
V1_MaxTrades_6_JPY_3_AUD_3,StrictOOS_2025_2026Q1,1277,12101846313878.0,79003390340662.0,66901544026785.0,552.82,13304315873792.0,27.91,5.03,53.56,1.264,-12.06,34.19,3.31
