Pair,Method,Period,Q,N,ObservedWeeks,Mean,Median,Std,PositiveRate,NegativeRate,NeutralRate,CILow,CIHigh,ValidBootstraps
USDJPY,Robustness,RecentA,5,140,75,-0.4585714285714155,1.199999999999335,43.68126705430687,0.5214285714285715,0.4785714285714286,0.0,-7.138391103692011,5.722589285714324,5000
EURAUD,Primary,RecentA,1,93,65,-2.180645161290426,-1.100000000000545,31.604609797445878,0.4731182795698925,0.5268817204301075,0.0,-8.78456018518519,4.452379432623943,5000
EURAUD,Primary,RecentA,2,107,71,0.35046728971957636,-0.10000000000065512,36.30098593658665,0.4953271028037383,0.5046728971962616,0.0,-6.835917675544847,7.364826956775718,5000
EURAUD,Primary,RecentA,3,93,64,-0.845161290322626,-2.1999999999988695,38.24244601773478,0.46236559139784944,0.5376344086021505,0.0,-8.842602836879415,7.0172539129371465,5000
EURAUD,Primary,RecentA,4,100,67,-3.9580000000001276,0.10000000000065512,37.89564666770628,0.5,0.5,0.0,-12.011102682849192,3.823452998038607,5000
EURAUD,Primary,RecentA,5,124,74,1.6830645161290116,7.250000000000867,37.70667000532012,0.5564516129032258,0.4435483870967742,0.0,-4.7858206464676405,7.782760445299567,5000
EURAUD,Robustness,RecentA,1,89,64,-0.6898876404494417,1.8999999999991246,35.33182972947615,0.5280898876404494,0.47191011235955055,0.0,-7.866777777777859,6.397930399719667,5000
EURAUD,Robustness,RecentA,2,110,73,-2.619090909090788,-2.6500000000007073,32.15555795539639,0.44545454545454544,0.5545454545454546,0.0,-8.552966504854297,3.535417529655619,5000
EURAUD,Robustness,RecentA,3,89,63,2.679775280898818,0.8999999999992347,40.16131443593024,0.5056179775280899,0.4943820224719101,0.0,-4.39824386102391,9.88026785714282,5000
EURAUD,Robustness,RecentA,4,107,72,0.09999999999986742,0.8999999999992347,35.15818431785547,0.514018691588785,0.48598130841121495,0.0,-6.545748543254331,7.104963455149361,5000
EURAUD,Robustness,RecentA,5,121,78,0.5818181818181225,6.299999999999084,39.632696939101486,0.5454545454545454,0.45454545454545453,0.0,-6.796695906432879,7.8487334318108495,5000
GBPJPY,Primary,RecentA,1,96,65,2.6239583333332797,7.800000000000296,48.132933784395426,0.5416666666666666,0.4583333333333333,0.0,-6.984243817374698,12.844115449915133,5000
GBPJPY,Primary,RecentA,2,92,60,2.7315217391303785,6.9500000000005,52.686338970765235,0.5652173913043478,0.43478260869565216,0.0,-8.536669767441879,12.98210825358841,5000
GBPJPY,Primary,RecentA,3,105,68,-6.1819047619048835,-6.800000000001205,55.88398143432875,0.42857142857142855,0.5714285714285714,0.0,-15.65999104697733,3.3213357293129353,5000
GBPJPY,Primary,RecentA,4,104,71,-4.969230769230639,-3.0500000000003524,51.02116841652105,0.4807692307692308,0.5192307692307693,0.0,-13.994964486534315,4.646863636363604,5000
GBPJPY,Primary,RecentA,5,120,66,8.39000000000008,3.699999999999193,58.44850121361242,0.5416666666666666,0.4583333333333333,0.0,-0.6720913993362039,17.785217609236906,5000
GBPJPY,Robustness,RecentA,1,98,71,-2.1061224489793524,-4.350000000000875,50.286547598196556,0.46938775510204084,0.5306122448979592,0.0,-11.70192154255285,7.322368392191673,5000
GBPJPY,Robustness,RecentA,2,90,64,0.5066666666665911,-4.449999999999932,50.36396027301682,0.45555555555555555,0.5444444444444444,0.0,-8.801011904761955,10.195245544554346,5000
GBPJPY,Robustness,RecentA,3,97,66,-3.249484536082402,-7.200000000000273,43.716994987912926,0.4536082474226804,0.5463917525773195,0.0,-11.221420297084672,5.028343821510332,5000
GBPJPY,Robustness,RecentA,4,108,72,-0.6342592592593403,-3.0000000000001137,58.69937852850825,0.4722222222222222,0.5277777777777778,0.0,-13.60109236725699,11.624872148966404,5000
GBPJPY,Robustness,RecentA,5,124,70,0.6935483870967852,-1.2499999999988631,61.40261738275445,0.4838709677419355,0.5161290322580645,0.0,-9.098298373923432,10.014138565440003,5000
USDJPY,Primary,RecentB,1,97,69,-0.8618556701031646,-1.1000000000024102,26.078165528923712,0.4845360824742268,0.5154639175257731,0.0,-6.068732142857051,4.071602328431494,5000
USDJPY,Primary,RecentB,2,108,74,0.8166666666666713,-1.2500000000017053,36.87581711434299,0.48148148148148145,0.5185185185185185,0.0,-6.020571790151841,8.256089898989924,5000
USDJPY,Primary,RecentB,3,96,74,-1.704166666666514,0.7499999999993179,31.775193623714657,0.5104166666666666,0.4895833333333333,0.0,-8.501081625604296,4.346785714285668,5000
USDJPY,Primary,RecentB,4,100,66,6.577000000000112,3.9499999999989654,37.06843208952545,0.57,0.43,0.0,-0.6112305900619102,13.516433333333357,5000
USDJPY,Primary,RecentB,5,113,70,1.0725663716815823,1.8000000000000682,41.2692752536565,0.5309734513274337,0.4690265486725664,0.0,-7.623650909545985,9.44386833829862,5000
USDJPY,Robustness,RecentB,1,101,66,1.0940594059404714,3.6000000000001364,29.10220892572302,0.5643564356435643,0.43564356435643564,0.0,-4.267916666666926,6.230852093414644,5000
USDJPY,Robustness,RecentB,2,101,64,-1.012871287128709,1.3999999999981583,35.429181936269174,0.5445544554455446,0.45544554455445546,0.0,-7.8282654097989814,5.233643668831048,5000
USDJPY,Robustness,RecentB,3,97,66,4.473195876288775,-1.8000000000000682,39.30299902537104,0.4948453608247423,0.5051546391752577,0.0,-3.491427399507749,13.52037349397616,5000
USDJPY,Robustness,RecentB,4,113,70,5.446017699115217,3.999999999999204,32.034116956430154,0.5575221238938053,0.4424778761061947,0.0,-0.4725219298243708,11.175047906839742,5000
USDJPY,Robustness,RecentB,5,102,66,2.4098039215687095,2.1000000000000796,39.65426202807055,0.5392156862745098,0.46078431372549017,0.0,-6.437762182203203,10.78750472207238,5000
EURAUD,Primary,RecentB,1,110,72,-2.9181818181819206,-2.60000000000038,22.145056324147546,0.4818181818181818,0.5181818181818182,0.0,-6.974716581388031,0.8500123762376345,5000
EURAUD,Primary,RecentB,2,102,67,-1.0372549019607438,-1.9500000000005624,24.016433818948347,0.49019607843137253,0.5098039215686274,0.0,-5.664585043988275,3.7392110432126087,5000
EURAUD,Primary,RecentB,3,112,73,-0.891964285714281,0.900000000000345,24.535677785525024,0.5089285714285714,0.49107142857142855,0.0,-5.0925526227162266,3.4305856092437033,5000
EURAUD,Primary,RecentB,4,99,68,-3.1747474747473916,-2.2999999999995246,30.6654373795725,0.4444444444444444,0.5555555555555556,0.0,-9.589374612683157,3.2881501726123163,5000
EURAUD,Primary,RecentB,5,90,62,3.802222222222238,-0.8999999999992347,42.551396490842016,0.45555555555555555,0.5444444444444444,0.0,-4.151874333451871,11.901920267802963,5000
EURAUD,Robustness,RecentB,1,107,69,1.894392523364591,-0.09999999999843467,22.786618183915852,0.4953271028037383,0.5046728971962616,0.0,-2.1671272559473485,5.897260466988781,5000
