Pair,Method,Period,TokyoSign,Q,N,ObservedWeeks,Mean,Median,LowSample,SideDelta,SideDeltaLowSample
USDJPY,Robustness,Monitor2026,DOWN,1,27,18,-1.8333333333334554,-5.700000000001637,True,5.933333333333747,True
USDJPY,Robustness,Monitor2026,DOWN,2,16,11,1.8562500000005144,3.2000000000010687,True,5.933333333333747,True
USDJPY,Robustness,Monitor2026,DOWN,3,19,16,-4.952631578947232,-5.89999999999975,True,5.933333333333747,True
USDJPY,Robustness,Monitor2026,DOWN,4,9,8,15.033333333332799,6.499999999999773,True,5.933333333333747,True
USDJPY,Robustness,Monitor2026,DOWN,5,14,10,4.100000000000291,-14.449999999999363,True,5.933333333333747,True
EURAUD,Primary,Monitor2026,UP,1,14,12,6.064285714285633,4.40000000000107,True,-0.6330357142854393,True
EURAUD,Primary,Monitor2026,UP,2,23,16,-2.6434782608696015,-4.3999999999999595,True,-0.6330357142854393,True
EURAUD,Primary,Monitor2026,UP,3,16,14,-0.843749999999837,3.849999999999687,True,-0.6330357142854393,True
EURAUD,Primary,Monitor2026,UP,4,14,13,2.192857142857076,8.099999999999774,True,-0.6330357142854393,True
EURAUD,Primary,Monitor2026,UP,5,16,13,5.431250000000194,4.449999999999177,True,-0.6330357142854393,True
EURAUD,Primary,Monitor2026,DOWN,1,21,15,-6.228571428571524,-11.400000000001409,True,5.367032967032883,True
EURAUD,Primary,Monitor2026,DOWN,2,20,16,1.5399999999999858,-0.700000000000145,True,5.367032967032883,True
EURAUD,Primary,Monitor2026,DOWN,3,23,17,-2.1173913043479886,-3.2999999999994145,True,5.367032967032883,True
EURAUD,Primary,Monitor2026,DOWN,4,16,13,9.381250000000117,4.750000000000032,True,5.367032967032883,True
EURAUD,Primary,Monitor2026,DOWN,5,13,10,-0.8615384615386404,-7.500000000000284,True,5.367032967032883,True
EURAUD,Robustness,Monitor2026,UP,1,16,12,0.7687500000000405,2.5500000000011624,True,2.851250000000138,True
EURAUD,Robustness,Monitor2026,UP,2,13,12,6.884615384615054,3.900000000001125,True,2.851250000000138,True
EURAUD,Robustness,Monitor2026,UP,3,20,16,-2.1400000000000308,4.699999999999704,True,2.851250000000138,True
EURAUD,Robustness,Monitor2026,UP,4,21,16,3.3238095238098357,6.6000000000010495,True,2.851250000000138,True
EURAUD,Robustness,Monitor2026,UP,5,10,9,3.6200000000001786,-1.1499999999997623,True,2.851250000000138,True
EURAUD,Robustness,Monitor2026,DOWN,1,25,18,-3.320000000000079,-6.200000000000649,True,6.3400000000000265,True
EURAUD,Robustness,Monitor2026,DOWN,2,21,16,-0.8333333333333991,-4.20000000000087,True,6.3400000000000265,True
EURAUD,Robustness,Monitor2026,DOWN,3,18,13,7.983333333333205,10.149999999998771,True,6.3400000000000265,True
EURAUD,Robustness,Monitor2026,DOWN,4,16,13,-5.331249999999954,-9.899999999999354,True,6.3400000000000265,True
