Method,Period,StrategyNo,R2Quintile,Expansion,Compression,ExpansionAvgR,CompressionAvgR,Delta,FEWeight,Informative
ATR,ALL,16,Q1,4,5,0.3455555555,0.011111110999999996,0.3344444445,2.2222222222222223,False
ATR,ALL,16,Q2,3,3,0.35407407399999996,0.097037037,0.25703703699999997,1.5,False
ATR,ALL,16,Q3,1,4,-1.0,-0.221111111,-0.778888889,0.8,False
ATR,ALL,16,Q4,2,3,-0.011111111000000007,0.6422222219999999,-0.653333333,1.2,False
ATR,ALL,16,Q5,3,8,1.5925925923333335,-0.068611111125,1.6612037034583336,2.1818181818181817,False
ATR,ALL,17,Q1,31,38,0.13737327190322582,0.22830827065789477,-0.09093499875466896,17.07246376811594,True
ATR,ALL,17,Q2,14,19,0.04897959171428571,-0.00030075184210525655,0.049280343556390965,8.06060606060606,False
ATR,ALL,17,Q3,17,22,0.20739495800000002,0.2357142857272727,-0.028319327727272692,9.58974358974359,False
ATR,ALL,17,Q4,18,15,-0.021746031833333325,-0.21952380953333336,0.19777777770000005,8.181818181818182,False
ATR,ALL,17,Q5,21,28,0.3995918368095238,0.13015306124999998,0.26943877555952384,12.0,True
ATR,ALL,18,Q1,109,85,0.1043119266422018,-0.10837908495294114,0.21269101159514295,47.75773195876289,True
ATR,ALL,18,Q2,37,42,-0.13348348345945946,-0.11206349207142856,-0.0214199913880309,19.670886075949365,True
ATR,ALL,18,Q3,61,49,0.15267759567213116,0.16861678002040817,-0.015939184348277013,27.172727272727272,True
ATR,ALL,18,Q4,49,36,0.0075283446734694184,0.07253086427777779,-0.06500251960430836,20.75294117647059,True
ATR,ALL,18,Q5,55,57,0.10383838381818176,0.11725146203508771,-0.013413078216905946,27.991071428571427,True
ATR,ALL,19,Q1,48,84,0.07398148152083334,0.060925925916666665,0.013055555604166671,30.545454545454547,True
ATR,ALL,19,Q2,28,41,-0.18777777774999996,0.02848238482926829,-0.21626016257926825,16.63768115942029,True
ATR,ALL,19,Q3,27,49,0.033621399222222216,0.005895691632653078,0.02772570758956914,17.407894736842106,True
ATR,ALL,19,Q4,29,32,0.16582375482758618,0.017291666687500006,0.14853208814008617,15.21311475409836,True
ATR,ALL,19,Q5,39,60,0.5191168091025642,-0.053222222199999995,0.5723390313025641,23.636363636363637,True
ATR,ALL,20,Q1,96,62,-0.020687500000000008,-0.09670967741935485,0.07602217741935484,37.67088607594937,True
ATR,ALL,20,Q2,35,31,-0.07605714285714286,0.14129032258064517,-0.21734746543778805,16.439393939393938,True
ATR,ALL,20,Q3,54,33,0.06859259259259261,0.12387878787878791,-0.0552861952861953,20.482758620689655,True
ATR,ALL,20,Q4,39,25,-0.08066666666666668,0.06208,-0.1427466666666667,15.234375,True
ATR,ALL,20,Q5,44,42,0.43418181818181806,-0.0415238095238095,0.4757056277056276,21.488372093023255,True
ATR,ALL,21,Q1,83,39,-0.03347754645783133,0.028391608358974356,-0.06186915481680569,26.5327868852459,True
ATR,ALL,21,Q2,38,22,0.020179425763157892,-0.028347107409090907,0.048526533172248795,13.933333333333334,True
ATR,ALL,21,Q3,32,18,-0.05335227271875,-0.00994949494444445,-0.043402777774305554,11.52,False
ATR,ALL,21,Q4,28,19,-0.06782467528571429,0.056578947421052635,-0.12440362270676691,11.319148936170214,False
ATR,ALL,21,Q5,34,35,0.01967914455882353,0.031389610514285717,-0.011710465955462185,17.246376811594203,True
ATR,ALL,23,Q1,31,41,-0.006200716935483861,-0.10409214092682927,0.0978914239913454,17.65277777777778,True
ATR,ALL,23,Q2,21,33,0.11460317457142855,0.036430976424242416,0.07817219814718612,12.833333333333334,True
ATR,ALL,23,Q3,15,20,-0.03703703700000001,0.08572222224999997,-0.12275925924999997,8.571428571428571,False
ATR,ALL,23,Q4,14,22,0.1653968253571429,0.16030303031818185,0.005093795038961041,8.555555555555555,False
ATR,ALL,23,Q5,23,46,0.16120772943478262,0.04714975845652175,0.11405797097826087,15.333333333333334,True
