Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,8,8_AJ_Core1,AUDJPY,Long,NORMAL,146,4.2028571459999995,0.028786692780821913,1.1284211446327923,56.16438356164384,0.45036585367073173,-0.511361607109375,False,0.13229027209305416,0.16661282295929108,True,1.3662990347955203e-05,0.2615647449616342,5000,True
FULL,robustness,8,8_AJ_Core1,AUDJPY,Long,HIGH,177,34.585714286,0.195399515740113,1.9681676398789911,56.49717514124294,0.70308571425,-0.4639332095974026,False,0.13229027209305416,0.16661282295929108,True,1.3662990347955203e-05,0.2615647449616342,5000,True
FULL,robustness,9,9_AJ_Core2,AUDJPY,Short,LOW,106,15.896666669,0.14996855348113208,1.47101234577606,55.660377358490564,0.841468926559322,-0.7180851063404255,False,0.013223536934122121,0.17376333060582444,True,-0.27903033342325967,0.31501103225421356,5000,False
FULL,robustness,9,9_AJ_Core2,AUDJPY,Short,NORMAL,92,29.783333336,0.3237318840869565,2.1257402042790563,60.86956521739131,1.0042857143035715,-0.7349074073611112,False,0.013223536934122121,0.17376333060582444,True,-0.27903033342325967,0.31501103225421356,5000,False
FULL,robustness,9,9_AJ_Core2,AUDJPY,Short,HIGH,118,19.256666668999998,0.1631920904152542,1.3496338437605313,44.91525423728814,1.4025157233584906,-0.8473333333692308,False,0.013223536934122121,0.17376333060582444,True,-0.27903033342325967,0.31501103225421356,5000,False
FULL,robustness,10,10_AJ_SatA,AUDJPY,Short,LOW,136,0.7680000000000002,0.005647058823529414,1.0576490016514037,49.26470588235294,0.21029850746268655,-0.19591176470588234,False,-0.04296488828089376,0.08045544413626343,True,-0.1213158489228313,0.033816294956995105,5000,False
FULL,robustness,10,10_AJ_SatA,AUDJPY,Short,NORMAL,109,4.702,0.04313761467889908,1.438783128032848,45.87155963302752,0.30835999999999997,-0.18475862068965515,False,-0.04296488828089376,0.08045544413626343,True,-0.1213158489228313,0.033816294956995105,5000,False
FULL,robustness,10,10_AJ_SatA,AUDJPY,Short,HIGH,129,-4.814,-0.037317829457364345,0.7639733281035497,44.18604651162791,0.2733684210526316,-0.2832777777777778,False,-0.04296488828089376,0.08045544413626343,True,-0.1213158489228313,0.033816294956995105,5000,False
FULL,robustness,11,11_AJ_SatB,AUDJPY,Short,LOW,137,1.3199999969999998,0.009635036474452553,1.0490474259078968,44.52554744525548,0.4628315946229508,-0.3541148325657895,False,0.054410065618570695,0.08237497187417128,True,-0.09274703685973919,0.20093171784674585,5000,False
FULL,robustness,11,11_AJ_SatB,AUDJPY,Short,NORMAL,109,10.029090909999999,0.09201000834862384,1.4557171183549535,51.37614678899083,0.5720779220892858,-0.4152315608867925,False,0.054410065618570695,0.08237497187417128,True,-0.09274703685973919,0.20093171784674585,5000,False
FULL,robustness,11,11_AJ_SatB,AUDJPY,Short,HIGH,129,8.26181817,0.06404510209302325,1.2598056027729987,51.93798449612403,0.5979375847313433,-0.5129032259193549,False,0.054410065618570695,0.08237497187417128,True,-0.09274703685973919,0.20093171784674585,5000,False
FULL,robustness,12,12_UJ_Short_Core,USDJPY,Short,LOW,199,19.418,0.09757788944723618,1.496078481465396,55.27638190954774,0.5323727272727272,-0.44991954022988506,False,0.2534156589398606,0.2534156589398606,True,0.023099479477699417,0.4834301396901975,5000,True
