Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,ClearDependence,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,Aggregation,CILow,CIHigh,ValidBootstraps
RecentB,primary,22.0,22_GA_C_2,GBPAUD,Long,HIGH,31.0,-1.5585714269999995,-0.050276497645161275,0.8601282052584713,35.483870967741936,0.8712987013636364,-0.5571428571,False,0.05382488487096776,0.10510978592789375,True,False,,,,,,,,,
RecentB,primary,23.0,23_GA_F_2,GBPAUD,Short,LOW,30.0,0.826666663,0.027555555433333333,1.3599419428854,53.333333333333336,0.19520833325,-0.1640476192142857,False,0.03709722228541666,0.05056944462916667,True,False,,,,,,,,,
RecentB,primary,23.0,23_GA_F_2,GBPAUD,Short,NORMAL,16.0,1.250000001,0.0781250000625,1.7621951230257287,62.5,0.28900000000000003,-0.2733333331666667,True,0.03709722228541666,0.05056944462916667,True,False,,,,,,,,,
RecentB,primary,23.0,23_GA_F_2,GBPAUD,Short,HIGH,32.0,2.068888887,0.06465277771875,1.6631054122874662,46.875,0.34592592586666665,-0.18352941182352941,False,0.03709722228541666,0.05056944462916667,True,False,,,,,,,,,
RecentB,primary,24.0,24_GA_D_1,GBPAUD,Long,LOW,30.0,1.401111111,0.0467037037,1.3302776323371674,60.0,0.31351851844444445,-0.3535185184166667,False,-0.1557662037,0.16350694443750002,True,False,,,,,,,,,
RecentB,primary,24.0,24_GA_D_1,GBPAUD,Long,NORMAL,16.0,0.871111111,0.0544444444375,1.4197002139893578,75.0,0.24555555558333333,-0.518888889,True,-0.1557662037,0.16350694443750002,True,False,,,,,,,,,
RecentB,primary,24.0,24_GA_D_1,GBPAUD,Long,HIGH,32.0,-3.49,-0.1090625,0.5354924578939226,46.875,0.2682222222666667,-0.44196078435294117,False,-0.1557662037,0.16350694443750002,True,False,,,,,,,,,
RecentB,primary,25.0,25_AU_China_Demand,AUDUSD,Long,LOW,93.0,1.1849999999999998,0.012741935483870965,1.1043593130779392,53.76344086021505,0.25079999999999997,-0.26406976744186045,False,0.12361676016830293,0.14687340153452683,True,False,,,,,,,,,
RecentB,primary,25.0,25_AU_China_Demand,AUDUSD,Long,NORMAL,34.0,-0.3575,-0.01051470588235294,0.9288557213930348,41.17647058823529,0.33339285714285716,-0.25125000000000003,False,0.12361676016830293,0.14687340153452683,True,False,,,,,,,,,
RecentB,primary,25.0,25_AU_China_Demand,AUDUSD,Long,HIGH,46.0,6.2725,0.1363586956521739,2.095633187772926,56.52173913043478,0.4614423076923077,-0.28625,False,0.12361676016830293,0.14687340153452683,True,False,,,,,,,,,
