Period,Method,StrategyNo,Group,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,Eligible,EligibleStrategies,SameSignStrategies,HighMinusLowAvgR,RegimeOrder
Historical,primary,7.0,,,NORMAL,111.0,4.899999998,0.0441441441261261,1.3782660330952698,58.55855855855856,0.2746745561846154,-0.281605351173913,False,True,,,-0.0300789473826315,HIGH < LOW < NORMAL
Historical,primary,7.0,,,HIGH,100.0,1.242307687,0.01242307687,1.1057560076314252,50.0,0.25978461536,-0.23493846162,False,True,,,-0.0300789473826315,HIGH < LOW < NORMAL
Historical,primary,8.0,,,LOW,100.0,4.185714284,0.04185714284,1.2199369463077634,54.0,0.4299470899259259,-0.4137267080869565,False,True,,,0.0725275813184158,NORMAL < LOW < HIGH
Historical,primary,8.0,,,NORMAL,106.0,3.505714285,0.0330727762735849,1.1694283346831558,53.77358490566038,0.4245112781754386,-0.4222740524693877,False,True,,,0.0725275813184158,NORMAL < LOW < HIGH
Historical,primary,8.0,,,HIGH,101.0,11.55285714,0.1143847241584158,1.6494539027746986,54.45544554455446,0.5334805194545454,-0.3867080745652174,False,True,,,0.0725275813184158,NORMAL < LOW < HIGH
Historical,primary,9.0,,,LOW,56.0,8.700000002,0.1553571428928571,1.445392491600368,50.0,1.008333333357143,-0.6976190475714287,False,True,,,0.1438616071540178,LOW < NORMAL < HIGH
Historical,primary,9.0,,,NORMAL,62.0,15.07,0.2430645161290322,1.7428524482662786,54.83870967741935,1.039901960764706,-0.7245238095,False,True,,,0.1438616071540178,LOW < NORMAL < HIGH
Historical,primary,9.0,,,HIGH,64.0,19.150000003,0.299218750046875,1.9398004254549357,59.375,1.0401754386842104,-0.7837179487307692,False,True,,,0.1438616071540178,LOW < NORMAL < HIGH
Historical,primary,10.0,,,LOW,74.0,-1.108,-0.0149729729729729,0.8612572001001754,41.891891891891895,0.2218709677419355,-0.1857209302325581,False,True,,,0.0013522833178005,LOW < HIGH < NORMAL
Historical,primary,10.0,,,NORMAL,77.0,-0.5880000000000001,-0.0076363636363636,0.9269746646795828,41.55844155844156,0.23325,-0.183,False,True,,,0.0013522833178005,LOW < HIGH < NORMAL
Historical,primary,10.0,,,HIGH,58.0,-0.79,-0.0136206896551724,0.8995677599796593,53.44827586206896,0.228258064516129,-0.2913333333333333,False,True,,,0.0013522833178005,LOW < HIGH < NORMAL
Historical,primary,11.0,,,LOW,74.0,4.239999996,0.0572972972432432,1.274708445903882,56.75675675675676,0.4684415584285714,-0.4823295455625,False,True,,,0.0101635177567567,LOW < HIGH < NORMAL
Historical,primary,11.0,,,NORMAL,77.0,6.170909087,0.0801416764545454,1.498092162760941,48.05194805194805,0.5016216215945946,-0.3097272728,False,True,,,0.0101635177567567,LOW < HIGH < NORMAL
Historical,primary,11.0,,,HIGH,58.0,3.91272727,0.067460815,1.2966230183540846,46.55172413793103,0.6334680134444445,-0.4255131965483871,False,True,,,0.0101635177567567,LOW < HIGH < NORMAL
Historical,primary,12.0,,,LOW,89.0,7.495,0.0842134831460674,1.6138411138411135,61.79775280898876,0.3582727272727272,-0.3591176470588235,False,True,,,0.2146565168539326,LOW < NORMAL < HIGH
Historical,primary,12.0,,,NORMAL,92.0,16.218,0.1762826086956521,1.8149339229184465,54.34782608695651,0.72238,-0.485390243902439,False,True,,,0.2146565168539326,LOW < NORMAL < HIGH
Historical,primary,12.0,,,HIGH,100.0,29.887,0.29887,3.165097073312084,62.0,0.7046935483870969,-0.3632631578947368,False,True,,,0.2146565168539326,LOW < NORMAL < HIGH
Historical,primary,13.0,,,LOW,37.0,3.056842104,0.0826173541621621,3.6789667852245342,64.86486486486487,0.1749122807083333,-0.0877732794615384,False,True,,,-0.0420091669843843,HIGH < NORMAL < LOW
Historical,primary,13.0,,,NORMAL,34.0,2.627368422,0.0772755418235294,2.8557620833503683,61.76470588235294,0.1925313283333333,-0.1089068825384615,False,True,,,-0.0420091669843843,HIGH < NORMAL < LOW
Historical,primary,13.0,,,HIGH,45.0,1.827368423,0.0406081871777777,1.7117671187215118,55.55555555555556,0.17578947372,-0.128368421,False,True,,,-0.0420091669843843,HIGH < NORMAL < LOW
Historical,primary,14.0,,,LOW,15.0,2.011111112,0.1340740741333333,1.5276967932515364,53.333333333333336,0.727777777875,-0.5444444444285714,True,False,,,-0.0021548822242423,HIGH < LOW < NORMAL
Historical,primary,14.0,,,NORMAL,10.0,2.762222223,0.2762222223,2.8279411771197016,70.0,0.6104761905714285,-0.5037037036666666,True,False,,,-0.0021548822242423,HIGH < LOW < NORMAL
Historical,primary,14.0,,,HIGH,11.0,1.451111111,0.1319191919090909,1.930199430128205,63.63636363636363,0.4301587301428571,-0.39,True,False,,,-0.0021548822242423,HIGH < LOW < NORMAL
Historical,primary,15.0,,,LOW,16.0,4.5,0.28125,1.7575757575757571,50.0,1.305,-0.7425,True,False,,,-0.1084722222222221,HIGH < LOW < NORMAL
Historical,primary,15.0,,,NORMAL,12.0,5.02,0.4183333333333333,2.1811764705882353,58.333333333333336,1.3242857142857145,-0.85,True,False,,,-0.1084722222222221,HIGH < LOW < NORMAL
Historical,primary,15.0,,,HIGH,9.0,1.5550000000000002,0.1727777777777778,1.4540145985401465,55.55555555555556,0.996,-0.85625,True,False,,,-0.1084722222222221,HIGH < LOW < NORMAL
Historical,primary,16.0,,,LOW,14.0,0.7422222230000001,0.0530158730714285,1.3313492066964288,50.0,0.4260317461428571,-0.3199999999999999,True,False,,,0.3498412697857143,LOW < NORMAL < HIGH
Historical,primary,16.0,,,NORMAL,10.0,2.6066666659999997,0.2606666666,3.079787234063773,80.0,0.482499999875,-0.6266666665,True,False,,,0.3498412697857143,LOW < NORMAL < HIGH
Historical,primary,16.0,,,HIGH,7.0,2.8200000000000003,0.4028571428571429,3.740820734045268,71.42857142857143,0.7697777778000001,-0.5144444445,True,False,,,0.3498412697857143,LOW < NORMAL < HIGH
Historical,primary,17.0,,,LOW,60.0,7.611428571,0.12685714285,1.559252650289548,65.0,0.5441391941538462,-0.6480952381428571,False,True,,,0.1129387754785714,LOW < NORMAL < HIGH
Historical,primary,17.0,,,NORMAL,58.0,10.264285715,0.1769704433620689,1.8268124281548177,55.172413793103445,0.70870535715625,-0.4774725274615384,False,True,,,0.1129387754785714,LOW < NORMAL < HIGH
Historical,primary,17.0,,,HIGH,70.0,16.785714283,0.2397959183285714,1.9459785844639732,57.14285714285714,0.8632499999500001,-0.5914761905,False,True,,,0.1129387754785714,LOW < NORMAL < HIGH
Historical,primary,18.0,,,LOW,148.0,5.555555555,0.0375375375337837,1.151473840451227,52.702702702702695,0.5414387464358974,-0.5315458937246377,False,True,,,0.0696236026704046,LOW < NORMAL < HIGH
Historical,primary,18.0,,,NORMAL,160.0,15.743333336,0.09839583335,1.381451070197235,54.37499999999999,0.6553512133103448,-0.565372907150685,False,True,,,0.0696236026704046,LOW < NORMAL < HIGH
