Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,RegimeOrder,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,24,24_GA_D_1,GBPAUD,Long,HIGH,131,11.894444445,0.09079728583969465,1.5792435475230957,58.778625954198475,0.4211544011298701,-0.3802674896666667,False,0.06873272129239735,LOW < NORMAL < HIGH,0.06873272129239735,True,-0.058771536419060695,0.19636589834953172,5000,False
FULL,robustness,25,25_AU_China_Demand,AUDUSD,Long,LOW,317,15.4625,0.04877760252365931,1.2965004793863855,55.520504731861195,0.3841619318181818,-0.3725,False,0.0020673452115323315,LOW < HIGH < NORMAL,0.015838916650382,True,-0.06815795756537868,0.07412861504408086,5000,False
FULL,robustness,25,25_AU_China_Demand,AUDUSD,Long,NORMAL,339,21.905,0.0646165191740413,1.4416998538085397,53.98230088495575,0.3906967213114754,-0.3199516129032258,False,0.0020673452115323315,LOW < HIGH < NORMAL,0.015838916650382,True,-0.06815795756537868,0.07412861504408086,5000,False
FULL,robustness,25,25_AU_China_Demand,AUDUSD,Long,HIGH,287,14.5925,0.05084494773519164,1.2947830917630423,53.65853658536586,0.4162012987012987,-0.3807884615384615,False,0.0020673452115323315,LOW < HIGH < NORMAL,0.015838916650382,True,-0.06815795756537868,0.07412861504408086,5000,False
FULL,robustness,26,26_AJ_China_Demand,AUDJPY,Long,LOW,144,18.368888892,0.1275617284166667,1.8664570232892883,62.5,0.43965432099999996,-0.39259259255555556,False,-0.00469394442783988,NORMAL < HIGH < LOW,0.036014887468954274,True,-0.14421167467760165,0.1291622375816711,5000,False
FULL,robustness,26,26_AJ_China_Demand,AUDJPY,Long,NORMAL,153,14.006666665,0.09154684094771241,1.4170029771115777,52.28758169934641,0.5949444444374999,-0.46651234569444444,False,-0.00469394442783988,NORMAL < HIGH < LOW,0.036014887468954274,True,-0.14421167467760165,0.1291622375816711,5000,False
FULL,robustness,26,26_AJ_China_Demand,AUDJPY,Long,HIGH,179,21.993333334,0.1228677839888268,1.6280619368090616,60.893854748603346,0.5230377166238532,-0.5002539682571429,False,-0.00469394442783988,NORMAL < HIGH < LOW,0.036014887468954274,True,-0.14421167467760165,0.1291622375816711,5000,False
FULL,robustness,27,27_EA_China_Demand,EURAUD,Short,LOW,181,9.006666665,0.04976058930939226,1.2749567517693579,58.5635359116022,0.39399371066037736,-0.4367555555333333,False,0.05555956135162469,LOW < HIGH < NORMAL,0.08054496625171886,True,-0.06589334962954173,0.17515108020283593,5000,False
FULL,robustness,27,27_EA_China_Demand,EURAUD,Short,NORMAL,180,23.455000001000002,0.13030555556111112,1.93514519232446,58.88888888888889,0.45789308179245286,-0.34358447491780825,False,0.05555956135162469,LOW < HIGH < NORMAL,0.08054496625171886,True,-0.06589334962954173,0.17515108020283593,5000,False
FULL,robustness,27,27_EA_China_Demand,EURAUD,Short,HIGH,177,18.641666667,0.10532015066101695,1.4968902710083856,56.49717514124294,0.56158333333,-0.4872294372207792,False,0.05555956135162469,LOW < HIGH < NORMAL,0.08054496625171886,True,-0.06589334962954173,0.17515108020283593,5000,False
FULL,robustness,28,28_GA_China_Demand,GBPAUD,Short,LOW,185,24.715999994,0.13359999996756758,1.8772834829966552,61.08108108108108,0.4680471975840708,-0.3912962962916666,False,-0.050977532216186366,NORMAL < HIGH < LOW,0.13550138066579243,True,-0.15828927282936733,0.05724659539559741,5000,False
FULL,robustness,28,28_GA_China_Demand,GBPAUD,Short,NORMAL,169,-0.32133333799999975,-0.0019013806982248506,0.9900293738990921,49.70414201183432,0.3798412698095238,-0.37915294120000004,False,-0.050977532216186366,NORMAL < HIGH < LOW,0.13550138066579243,True,-0.15828927282936733,0.05724659539559741,5000,False
FULL,robustness,28,28_GA_China_Demand,GBPAUD,Short,HIGH,181,14.954666663,0.08262246775138121,1.4423236186990196,55.80110497237569,0.48281188108910894,-0.4279662446455696,False,-0.050977532216186366,NORMAL < HIGH < LOW,0.13550138066579243,True,-0.15828927282936733,0.05724659539559741,5000,False
