StrategyNo,EntryTime,Variant,Direction,Checkpoint,IndependentMFE,IndependentR,Status
10,2015-01-30 10:58:00,NP50,Short,2015-01-30 12:24:00,,0.5,PASS
10,2026-01-30 10:58:00,NP50,Short,2026-01-30 12:24:00,,0.5,PASS
10,2015-01-30 10:58:00,NP75,Short,2015-01-30 13:07:00,,0.5,PASS
10,2026-02-13 10:58:00,NP75,Short,2026-02-13 13:07:00,,0.5,PASS
11,2015-01-30 18:57:00,NP50,Short,2015-01-30 22:20:00,0.725454545454547,0.301818182,PASS
11,2026-03-27 18:57:00,NP50,Short,2026-03-27 22:20:00,0.41999999999999005,0.052727273,PASS
11,2015-01-30 18:57:00,NP75,Short,2015-01-31 00:01:00,0.8527272727272878,0.301818182,PASS
11,2026-08-28 18:57:00,NP75,Short,2026-08-29 00:01:00,0.5836363636363857,0.436363636,PASS
10,2015-02-13 10:58:00,NP50,Short,2015-02-13 12:24:00,0.04200000000000159,-0.102,PASS
10,2026-08-28 10:58:00,NP50,Short,2026-08-28 12:24:00,0.0,-0.312,PASS
10,2015-02-13 10:58:00,NP75,Short,2015-02-13 13:07:00,0.057999999999992724,-0.194,PASS
10,2026-08-28 10:58:00,NP75,Short,2026-08-28 13:07:00,0.0,-0.22,PASS
11,2015-02-13 18:57:00,NP50,Short,2015-02-13 22:20:00,0.24181818181819958,-0.518181818,PASS
11,2026-08-28 18:57:00,NP50,Short,2026-08-28 22:20:00,0.1818181818181973,-0.058181818,PASS
11,2015-02-13 18:57:00,NP75,Short,2015-02-14 00:01:00,0.24181818181819958,-0.68,PASS
11,2026-08-21 18:57:00,NP75,Short,2026-08-22 00:01:00,0.014545454545446482,-0.625454545,PASS
9,2015-03-05 17:14:00,NP50,Short,2015-03-05 21:14:00,0.060000000000002274,-0.74,PASS
9,2026-08-13 17:14:00,NP50,Short,2026-08-13 21:14:00,0.0,-0.18,PASS
9,2015-03-05 17:14:00,NP75,Short,2015-03-05 23:14:00,0.14000000000000531,-0.113333333,PASS
9,2026-08-13 17:14:00,NP75,Short,2026-08-13 23:14:00,0.0,-0.17,PASS
8,2015-04-13 08:01:00,NP50,Long,2015-04-13 15:23:00,,-1.0,PASS
8,2026-08-03 08:01:00,NP50,Long,2026-08-03 15:23:00,,-1.0,PASS
8,2015-04-13 08:01:00,NP75,Long,2015-04-13 19:04:00,,-1.0,PASS
8,2026-09-07 08:01:00,NP75,Long,2026-09-07 19:04:00,,-1.0,PASS
26,2017-09-12 10:00:00,NP50,Long,2017-09-12 12:55:00,0.0,-0.433333333,PASS
12,2015-01-20 09:55:00,NP50,Short,2015-01-20 12:25:00,,-1.0,PASS
12,2026-03-20 09:55:00,NP50,Short,2026-03-20 12:25:00,,-1.0,PASS
12,2015-01-20 09:55:00,NP75,Short,2015-01-20 13:40:00,,-1.0,PASS
12,2026-03-20 09:55:00,NP75,Short,2026-03-20 13:40:00,,-1.0,PASS
12,2015-01-23 09:55:00,NP50,Short,2015-01-23 12:25:00,1.1899999999999977,-1.0,PASS
12,2026-07-27 08:04:00,NP50,Short,2026-07-27 11:30:00,0.452000000000055,0.182,PASS
12,2015-01-23 09:55:00,NP75,Short,2015-01-23 13:40:00,1.1899999999999977,-1.0,PASS
12,2026-07-27 08:04:00,NP75,Short,2026-07-27 13:13:00,0.452000000000055,0.182,PASS
13,2015-01-28 18:04:00,NP50,Long,2015-01-28 20:03:00,0.05368421052631782,-0.125263158,PASS
13,2026-08-27 18:04:00,NP50,Long,2026-08-27 20:03:00,0.18105263157894425,0.135789474,PASS
13,2015-01-28 18:04:00,NP75,Long,2015-01-28 21:03:00,0.07263157894737117,0.010526316,PASS
13,2026-08-27 18:04:00,NP75,Long,2026-08-27 21:03:00,0.18105263157894425,0.057894737,PASS
14,2015-02-03 20:01:00,NP50,Short,2015-02-03 23:34:00,0.5088888888889187,0.437777778,PASS
14,2026-08-03 20:01:00,NP50,Short,2026-08-03 23:34:00,1.2333333333333485,-0.488888889,PASS
14,2015-02-03 20:01:00,NP75,Short,2015-02-04 01:21:00,0.5088888888889187,0.437777778,PASS
14,2026-08-03 20:01:00,NP75,Short,2026-08-04 01:21:00,1.2333333333333485,-0.488888889,PASS
16,2015-02-10 02:58:00,NP50,Long,2015-02-10 06:24:00,0.07555555555556895,-0.168888889,PASS
16,2026-02-10 02:58:00,NP50,Long,2026-02-10 06:24:00,0.15777777777777321,-0.211111111,PASS
16,2015-02-10 02:58:00,NP75,Long,2015-02-10 08:07:00,0.07555555555556895,-0.153333333,PASS
16,2026-02-10 02:58:00,NP75,Long,2026-02-10 08:07:00,0.21777777777780707,-0.004444444,PASS
12,2015-02-23 08:04:00,NP50,Short,2015-02-23 11:30:00,0.10400000000001342,-0.046,PASS
12,2026-07-30 09:55:00,NP50,Short,2026-07-30 12:25:00,0.11499999999998067,-0.33,PASS
12,2015-02-23 08:04:00,NP75,Short,2015-02-23 13:13:00,0.21999999999999886,0.22,PASS
12,2026-07-30 09:55:00,NP75,Short,2026-07-30 13:40:00,0.11499999999998067,-0.18,PASS
16,2015-04-10 02:58:00,NP50,Long,2015-04-10 06:24:00,0.3711111111111462,-0.126666667,PASS
16,2026-07-10 02:58:00,NP50,Long,2026-07-10 06:24:00,0.29333333333334444,-0.328888889,PASS
16,2015-04-10 02:58:00,NP75,Long,2015-04-10 08:07:00,0.3711111111111462,-0.126666667,PASS
16,2026-07-10 02:58:00,NP75,Long,2026-07-10 08:07:00,0.3244444444444778,-0.328888889,PASS
