Candidate,RiskPct,TradingWeekStart,StartCapital,RiskAmount,Trades,NetProfitJPY,ReturnPct,FinalCapital
M0_BASELINE,2.0,2016-03-07 06:00:00,4011741.427290599743102244342081368111359,80234.82854581199486204488684162736222718,41,928742.0309636251159945051668578321296338,23.15059551559551559551559551559551559550,4940483.458254224859096749508939200240993
M0_BASELINE,2.0,2016-03-14 06:00:00,4940483.458254224859096749508939200240993,98809.66916508449718193499017878400481986,26,-761644.7050197654154281405662791185407825,-15.41640026640026640026640026640026640027,4178838.753234459443668608942660081700210
M0_BASELINE,2.0,2016-03-21 06:00:00,4178838.753234459443668608942660081700210,83576.7750646891888733721788532016340042,32,345396.7243303189140062421843903217358465,8.265375735375735375735375735375735375740,4524235.477564778357674851127050403436056
M0_BASELINE,2.0,2016-03-28 06:00:00,4524235.477564778357674851127050403436056,90484.70955129556715349702254100806872112,23,399235.8686106876291635031778478667602592,8.824383049698839172523383049698839172531,4923471.346175465986838354304898270196315
M0_BASELINE,2.0,2016-04-04 06:00:00,4923471.346175465986838354304898270196315,98469.4269235093197367670860979654039263,27,582811.5403590053464806032989109581357946,11.83741103341103341103341103341103341103,5506282.886534471333318957603809228332110
M0_BASELINE,2.0,2016-04-11 06:00:00,5506282.886534471333318957603809228332110,110125.6577306894266663791520761845666422,44,2036116.549580098771459184078715442513394,36.97805927405927405927405927405927405924,7542399.436114570104778141682524670845504
M0_BASELINE,2.0,2016-04-18 06:00:00,7542399.436114570104778141682524670845504,150847.9887222914020955628336504934169101,27,1774215.941173673128550322003772420784464,23.52322965922965922965922965922965922966,9316615.377288243233328463686297091629968
M0_BASELINE,2.0,2016-04-25 06:00:00,9316615.377288243233328463686297091629968,186332.3075457648646665692737259418325994,28,1266145.184067531762776940484814302553684,13.59018412581570476307318412581570476307,10582760.56135577499610540417111139418365
M0_BASELINE,2.0,2016-05-02 06:00:00,10582760.56135577499610540417111139418365,211655.211227115499922108083422227883673,23,913411.7961486258475628422794048682206681,8.631129759129759129759129759129759129754,11496172.35750440084366824645051626240432
M0_BASELINE,2.0,2016-05-09 06:00:00,11496172.35750440084366824645051626240432,229923.4471500880168733649290103252480864,48,-1263711.023195982461848037091296628675659,-10.99245021645021645021645021645021645021,10232461.33430841838182020935921963372866
M0_BASELINE,2.0,2016-05-16 06:00:00,10232461.33430841838182020935921963372866,204649.2266861683676364041871843926745732,25,1236951.786917544662322023079032927974080,12.08850682650682650682650682650682650683,11469413.12122596304414223243825256170274
