Pair,Date,Season,Direction,Endpoint,RawTime,UTC,JST,London,Open,Filename,SourceRow,Pip,X,Y,Status
GBPJPY,2015-01-06,winter,DOWN,Tokyo09,2015-01-06 02:00:00,2015-01-06 00:00:00+00:00,2015-01-06 09:00:00+09:00,2015-01-06 00:00:00+00:00,182.168,GBPJPY_M1_201501020900_201612302359.csv,2462,0.01,-64.10000000000196,-82.90000000000077,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-01-06,winter,DOWN,Tokyo15,2015-01-06 08:00:00,2015-01-06 06:00:00+00:00,2015-01-06 15:00:00+09:00,2015-01-06 06:00:00+00:00,181.527,GBPJPY_M1_201501020900_201612302359.csv,2822,0.01,-64.10000000000196,-82.90000000000077,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-01-06,winter,DOWN,London08,2015-01-06 10:00:00,2015-01-06 08:00:00+00:00,2015-01-06 17:00:00+09:00,2015-01-06 08:00:00+00:00,181.487,GBPJPY_M1_201501020900_201612302359.csv,2942,0.01,-64.10000000000196,-82.90000000000077,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-01-06,winter,DOWN,London11,2015-01-06 13:00:00,2015-01-06 11:00:00+00:00,2015-01-06 20:00:00+09:00,2015-01-06 11:00:00+00:00,180.658,GBPJPY_M1_201501020900_201612302359.csv,3122,0.01,-64.10000000000196,-82.90000000000077,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-04-01,summer,UP,Tokyo09,2015-04-01 03:00:00,2015-04-01 00:00:00+00:00,2015-04-01 09:00:00+09:00,2015-04-01 01:00:00+01:00,177.873,GBPJPY_M1_201501020900_201612302359.csv,90113,0.01,11.20000000000232,-55.400000000000205,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-04-01,summer,UP,Tokyo15,2015-04-01 09:00:00,2015-04-01 06:00:00+00:00,2015-04-01 15:00:00+09:00,2015-04-01 07:00:00+01:00,177.985,GBPJPY_M1_201501020900_201612302359.csv,90473,0.01,11.20000000000232,-55.400000000000205,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-04-01,summer,UP,London08,2015-04-01 10:00:00,2015-04-01 07:00:00+00:00,2015-04-01 16:00:00+09:00,2015-04-01 08:00:00+01:00,177.938,GBPJPY_M1_201501020900_201612302359.csv,90533,0.01,11.20000000000232,-55.400000000000205,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-04-01,summer,UP,London11,2015-04-01 13:00:00,2015-04-01 10:00:00+00:00,2015-04-01 19:00:00+09:00,2015-04-01 11:00:00+01:00,177.384,GBPJPY_M1_201501020900_201612302359.csv,90713,0.01,11.20000000000232,-55.400000000000205,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-03-30,summer,DOWN,Tokyo09,2015-03-30 03:00:00,2015-03-30 00:00:00+00:00,2015-03-30 09:00:00+09:00,2015-03-30 01:00:00+01:00,177.445,GBPJPY_M1_201501020900_201612302359.csv,87233,0.01,-39.400000000000546,73.40000000000089,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-03-30,summer,DOWN,Tokyo15,2015-03-30 09:00:00,2015-03-30 06:00:00+00:00,2015-03-30 15:00:00+09:00,2015-03-30 07:00:00+01:00,177.051,GBPJPY_M1_201501020900_201612302359.csv,87593,0.01,-39.400000000000546,73.40000000000089,RAW_CSV_DECIMAL_VERIFIED
