Variant,StrategyNo,Strategy,BaselineTotalR,DeltaTotalR,Improved,Harmed,Unchanged,SampleStatus,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R1_BE50,28,28_GA_China_Demand,44.565333313,2.2106666690000054,27,20,533,OK,580,181,46.775999982,0.08064827583103448,1.4794063788048033,0.5172413793103449,0.48115555547999994,-0.42056321837068966,0.3913793103448276,0.07758620689655173,0.1310344827586207,0.7103448275862069,0.08103448275862069,-1.0,-2.333333333,4.161333331999996
R2_LOCK100,1,1_EJ_Log1,129.86285713499998,-16.618571430999978,28,46,778,OK,852,544,113.244285704,0.1329158282910798,1.5357125961479459,0.5868544600938967,0.649268571424,-0.60053977275,0.24061032863849766,0.17136150234741784,0.004694835680751174,0.7370892018779343,0.08685446009389672,-1.0,-2.0,10.805714284999997
R2_LOCK100,2,2_EJ_NightBlitz_20,112.95111115899999,-22.78222222699999,31,67,931,OK,1029,594,90.168888932,0.08762768603692905,1.3098563586325538,0.5724003887269193,0.6471495944906621,-0.6628752214646925,0.2555879494655005,0.21282798833819241,0.08940719144800778,0.6025267249757046,0.09523809523809523,-1.0,-2.0,9.662222222999997
R2_LOCK100,3,3_EJ_NightBlitz_21,69.061333309,0.0,0,0,1029,OK,1029,595,69.061333309,0.06711499835665695,1.421095420291097,0.5675413022351797,0.39908447484246573,-0.3727363636340909,0.0,0.056365403304178816,0.09523809523809523,0.8483965014577259,0.0,-1.0,-2.0,5.096
R2_LOCK100,4,4_GJ_Port_Log1,39.222307666999995,0.0,0,0,956,OK,956,498,39.222307666999995,0.04102751848012552,1.415094800132389,0.5648535564853556,0.24761538457962962,-0.22823671499033812,0.0,0.02092050209205021,0.06903765690376569,0.9100418410041841,0.0,-1.0,-2.0,2.57846154
R2_LOCK100,5,5_GJ_Port_Log2,104.85444444800001,-11.032222222000016,58,67,1127,OK,1252,586,93.822222226,0.07493787717731629,1.2529181131276814,0.518370607028754,0.7161496319198768,-0.6162107788870432,0.24920127795527156,0.1988817891373802,0.0,0.7012779552715654,0.09984025559105432,-1.0,-3.0,10.093333337999965
R2_LOCK100,6,6_GJ_Old_Mon,82.97999999999999,-12.769999999999996,23,47,421,OK,491,491,70.21,0.14299389002036658,1.3979887989479174,0.5437881873727087,0.9236779026217229,-0.7875535714285714,0.3564154786150713,0.3136456211812627,0.012219959266802444,0.5315682281059063,0.1425661914460285,-1.0,-1.0,13.306000000000001
R2_LOCK100,7,7_GJ_Mon_Blitz,24.834615375000002,-1.4230769230000035,0,1,588,OK,589,589,23.411538452,0.03974794304244482,1.3353755962498601,0.5551782682512734,0.28507174781957184,-0.2664386377290076,0.023769100169779286,0.01867572156196944,0.001697792869269949,0.9779286926994907,0.001697792869269949,-1.0,-1.0,5.838461538000002
R2_LOCK100,8,8_AJ_Core1,54.74999999400001,0.45000000099999937,3,8,579,OK,590,590,55.199999995000006,0.09355932202542373,1.467050234463903,0.5694915254237288,0.5160374149404762,-0.46530933631889765,0.1271186440677966,0.1,0.03389830508474576,0.847457627118644,0.01864406779661017,-1.0,-1.0,4.820000000000002
R2_LOCK100,9,9_AJ_Core2,62.970000006999996,-19.709999999999994,24,38,278,OK,340,340,43.260000007,0.1272352941382353,1.3513835490912205,0.55,0.8896969697326202,-0.804662309366013,0.3764705882352941,0.31176470588235294,0.05588235294117647,0.45,0.18235294117647058,-1.0,-1.0,8.286666664999998
