Period,Pair,Event,N,MeanAlignedPips,MedianAlignedPips,PositiveRate,CILow,CIHigh,ValidBootstraps
Monitor2026,GBPJPY,UP_SWEEP,27,-7.207407407407505,-3.999999999999204,0.37037037037037035,-13.672034646739485,-0.2554629629626078,5000
Monitor2026,GBPJPY,DOWN_SWEEP,26,0.7115384615387982,1.449999999999818,0.6153846153846154,-5.889291666666365,7.0241309523810616,5000
Monitor2026,AUDJPY,UP_BREAKOUT,32,2.924999999999933,2.2500000000000853,0.65625,-0.3300192307692483,6.511155913978358,5000
Monitor2026,AUDJPY,DOWN_BREAKOUT,23,-0.7173913043477297,-3.09999999999917,0.34782608695652173,-6.475208333333203,4.480000000000079,5000
Monitor2026,AUDJPY,UP_SWEEP,20,-0.38000000000025125,-3.900000000000148,0.45,-6.636846978557634,6.617083333333105,5000
Monitor2026,AUDJPY,DOWN_SWEEP,14,-10.285714285714372,-7.799999999999585,0.14285714285714285,-18.25790178571437,-1.7621041666667376,5000
Monitor2026,AUDUSD,UP_BREAKOUT,27,1.1851851851852189,1.300000000000745,0.5555555555555556,-2.229598214285699,4.861062111801276,5000
Monitor2026,AUDUSD,DOWN_BREAKOUT,20,-0.19500000000005616,-1.9000000000002348,0.4,-3.466923076922993,2.750340909090848,5000
Monitor2026,AUDUSD,UP_SWEEP,22,0.08181818181816247,-2.449999999999397,0.4090909090909091,-4.269884910485953,5.407857142857044,5000
Monitor2026,AUDUSD,DOWN_SWEEP,20,-0.9949999999999125,-0.20000000000020002,0.5,-8.008295454545305,5.9113333333332045,5000
Monitor2026,EURAUD,UP_BREAKOUT,23,-3.0434782608693256,-4.599999999999049,0.34782608695652173,-9.472018181817699,2.9476785714284355,5000
Monitor2026,EURAUD,DOWN_BREAKOUT,30,2.633333333333488,3.149999999999542,0.5666666666666667,-3.161768207282665,9.45357894736862,5000
Monitor2026,EURAUD,UP_SWEEP,20,-8.314999999999738,-6.099999999999994,0.25,-16.848773291925013,0.6159583333335781,5000
Monitor2026,EURAUD,DOWN_SWEEP,21,-6.547619047619119,-9.700000000001374,0.23809523809523808,-14.199999999999948,1.1365835777124838,5000
Monitor2026,GBPAUD,UP_BREAKOUT,30,-0.6799999999998659,-3.449999999999287,0.4666666666666667,-6.1184127789038785,4.061833491461137,5000
Monitor2026,GBPAUD,DOWN_BREAKOUT,27,4.040740740740814,5.60000000000116,0.5925925925925926,-6.364363425925972,14.846630434782918,5000
Monitor2026,GBPAUD,UP_SWEEP,12,-11.15000000000014,-0.8000000000008001,0.5,-29.1228030303031,5.772909090908755,5000
Monitor2026,GBPAUD,DOWN_SWEEP,26,8.549999999999905,8.299999999999974,0.6153846153846154,-2.104920634920363,18.977340909090582,5000
RecentCombined,USDJPY,UP_BREAKOUT,271,1.9520295202952105,1.8000000000000682,0.5608856088560885,-1.218779396588221,4.755804907017833,5000
RecentCombined,USDJPY,DOWN_BREAKOUT,188,1.2271276595744616,0.05000000000023874,0.5,-2.3731276489653816,5.234015592783575,5000
RecentCombined,USDJPY,UP_SWEEP,119,-1.2042016806722389,-2.199999999999136,0.4369747899159664,-4.869356104650977,2.730861465191226,5000
RecentCombined,USDJPY,DOWN_SWEEP,133,0.02481203007503932,-1.0000000000019327,0.48120300751879697,-3.5198469730566613,3.6736583861871854,5000
RecentCombined,EURJPY,UP_BREAKOUT,322,2.7559006211180863,2.6500000000012847,0.546583850931677,-0.26224497885831366,5.456592004288233,5000
RecentCombined,EURJPY,DOWN_BREAKOUT,213,0.6779342723004307,0.7999999999981355,0.5117370892018779,-3.3138280266234923,4.736575724098146,5000
RecentCombined,EURJPY,UP_SWEEP,161,-0.22981366459648794,0.5999999999971806,0.5093167701863354,-4.9152912449499055,5.015956622383189,5000
RecentCombined,EURJPY,DOWN_SWEEP,157,3.0923566878978566,3.700000000000614,0.5668789808917197,-1.2478579545458213,7.074275795769665,5000
RecentCombined,GBPJPY,UP_BREAKOUT,293,2.1368600682593746,5.700000000001637,0.6143344709897611,-2.470994870617031,6.487570564516118,5000
