Period,Pair,Hypothesis,N,Weeks,MeanAlignedPips,MedianAlignedPips,SDAlignedPips,TotalAlignedPips,PositiveRate,NegativeRate,ZeroRate,CILow,CIHigh,RawP,ValidBootstraps,Status
RecentB,EURAUD,BREAKOUT_CONTINUATION,181,88,-2.8928176795579477,-0.6000000000017103,22.888022178397115,-523.5999999999885,0.47513812154696133,0.5193370165745856,0.0055248618784530384,-6.529812374828643,0.5157193110865872,0.10817836432713457,5000,OK
RecentB,EURAUD,SWEEP_REVERSAL,118,74,0.1118644067797912,0.5499999999991623,18.713275919506454,13.200000000015361,0.5084745762711864,0.4915254237288136,0.0,-3.1200089285713095,3.3547134422710103,0.9426114777044591,5000,OK
RecentB,GBPAUD,BREAKOUT_CONTINUATION,181,91,-0.0734806629835756,0.0,22.512366071806287,-13.300000000027183,0.4972375690607735,0.4972375690607735,0.0055248618784530384,-3.1966671826624746,2.94179763349509,0.9622075584883023,5000,OK
RecentB,GBPAUD,SWEEP_REVERSAL,126,84,1.9063492063489365,0.0,26.067358120167878,240.199999999966,0.5,0.5,0.0,-2.7225526008185708,6.965465303308672,0.4365126974605079,5000,OK
Monitor2026,USDJPY,BREAKOUT_CONTINUATION,67,33,1.5358208955221706,0.6000000000000227,24.893845542760918,102.89999999998543,0.5522388059701493,0.44776119402985076,0.0,-4.115616172316617,6.9332051809208695,0.5748850229954009,5000,OK
Monitor2026,USDJPY,SWEEP_REVERSAL,42,24,-3.9190476190477224,-2.950000000001296,18.760106064696362,-164.60000000000434,0.40476190476190477,0.5952380952380952,0.0,-9.663196778711646,1.097833333333206,0.14657068586282743,5000,OK
Monitor2026,EURJPY,BREAKOUT_CONTINUATION,69,34,6.095652173913274,5.500000000000682,23.958864470186214,420.60000000001594,0.5652173913043478,0.43478260869565216,0.0,1.4491748206135098,11.590419491525383,0.02539492101579684,5000,OK
Monitor2026,EURJPY,SWEEP_REVERSAL,43,26,0.7209302325577482,-1.5999999999991132,15.516604902023353,30.999999999983174,0.4883720930232558,0.5116279069767442,0.0,-4.288098739496375,5.447824127906686,0.7754449110177964,5000,OK
Monitor2026,GBPJPY,BREAKOUT_CONTINUATION,78,34,4.684615384615088,5.5999999999997385,32.8483096757118,365.3999999999769,0.6538461538461539,0.34615384615384615,0.0,-3.901331089351767,13.135494462025182,0.2793441311737652,5000,OK
Monitor2026,GBPJPY,SWEEP_REVERSAL,53,29,-3.322641509433847,-0.7000000000005002,17.965497290313166,-176.09999999999388,0.49056603773584906,0.5094339622641509,0.0,-7.210656431334588,0.5865018832395582,0.09638072385522896,5000,OK
Monitor2026,AUDJPY,BREAKOUT_CONTINUATION,55,30,1.4018181818181832,0.7999999999995566,12.529986120844397,77.10000000000008,0.5272727272727272,0.4727272727272727,0.0,-1.445152406417076,4.151237234042595,0.3239352129574085,5000,OK
Monitor2026,AUDJPY,SWEEP_REVERSAL,34,24,-4.458823529411948,-4.899999999999949,18.19698805658642,-151.60000000000622,0.3235294117647059,0.6764705882352942,0.0,-9.108203125000056,0.597556573275726,0.07098580283943211,5000,OK
Monitor2026,AUDUSD,BREAKOUT_CONTINUATION,47,28,0.5978723404255275,-0.2999999999997449,10.159371115458338,28.099999999999792,0.48936170212765956,0.5106382978723404,0.0,-1.897680474806237,3.1511337868479625,0.6280743851229754,5000,OK
Monitor2026,AUDUSD,SWEEP_REVERSAL,42,26,-0.4309523809523495,-0.9999999999998899,12.737375157390689,-18.09999999999868,0.4523809523809524,0.5476190476190477,0.0,-4.660236111110873,4.151071017826387,0.8456308738252349,5000,OK
Monitor2026,EURAUD,BREAKOUT_CONTINUATION,53,31,0.16981132075490749,0.0,15.999995010884396,9.000000000010097,0.4716981132075472,0.49056603773584906,0.03773584905660377,-4.294547889610063,4.729711073500958,0.9446110777844431,5000,OK
Monitor2026,EURAUD,SWEEP_REVERSAL,41,25,-7.4097560975608845,-7.099999999999884,15.84190337172337,-303.79999999999626,0.24390243902439024,0.7560975609756098,0.0,-13.235876984126834,-1.394272321428508,0.01739652069586083,5000,OK
Monitor2026,GBPAUD,BREAKOUT_CONTINUATION,57,32,1.5561403508772982,1.100000000000545,22.75475631240857,88.700000000006,0.5263157894736842,0.47368421052631576,0.0,-4.206064814814738,7.221846497764609,0.5914817036592681,5000,OK
Monitor2026,GBPAUD,SWEEP_REVERSAL,38,28,2.328947368420943,5.049999999999777,28.115465667010078,88.49999999999584,0.5789473684210527,0.42105263157894735,0.0,-7.781421052631484,12.105583333333124,0.6550689862027594,5000,OK
RecentCombined,USDJPY,BREAKOUT_CONTINUATION,459,226,1.6551198257080628,1.5999999999991132,26.03034152795599,759.7000000000008,0.5359477124183006,0.46187363834422657,0.002178649237472767,-0.6456453514267494,3.9680415394393442,0.15476904619076184,5000,OK
RecentCombined,USDJPY,SWEEP_REVERSAL,252,168,-0.5555555555556199,-1.8000000000000682,21.322113375874185,-140.0000000000162,0.4603174603174603,0.5396825396825397,0.0,-3.1038267696043853,2.101011066867751,0.6664667066586683,5000,OK
RecentCombined,EURJPY,BREAKOUT_CONTINUATION,535,234,1.9285981308411504,2.400000000000091,28.723668366620213,1031.8000000000154,0.5327102803738317,0.4654205607476635,0.001869158878504673,-0.44442524014150214,4.166051457739393,0.10177964407118577,5000,OK
RecentCombined,EURJPY,SWEEP_REVERSAL,318,181,1.4103773584903425,1.4999999999986358,29.026955586933365,448.49999999992895,0.5377358490566038,0.46226415094339623,0.0,-1.756220238095401,4.587953859768013,0.394121175764847,5000,OK
RecentCombined,GBPJPY,BREAKOUT_CONTINUATION,540,227,0.4866666666666325,1.850000000000307,37.0132765630051,262.79999999998154,0.5314814814814814,0.4685185185185185,0.0,-2.4189427318297256,3.3362191699796,0.7396520695860828,5000,OK
RecentCombined,GBPJPY,SWEEP_REVERSAL,326,189,-0.9865030674846302,-0.14999999999929514,31.028570487585675,-321.59999999998945,0.49693251533742333,0.5,0.003067484662576687,-4.3868233556268725,2.203032599667853,0.5422915416916617,5000,OK
RecentCombined,AUDJPY,BREAKOUT_CONTINUATION,423,215,-0.2624113475176901,0.6000000000000227,19.150112440763877,-110.99999999998289,0.5059101654846335,0.4940898345153664,0.0,-2.174977883467967,1.6473256958702134,0.7870425914817036,5000,OK
RecentCombined,AUDJPY,SWEEP_REVERSAL,267,172,-0.10973782771540609,-1.2999999999991019,19.69403125884192,-29.300000000013426,0.45692883895131087,0.5318352059925093,0.011235955056179775,-2.489307672035639,2.3538800699300277,0.9274145170965807,5000,OK
RecentCombined,AUDUSD,BREAKOUT_CONTINUATION,417,211,0.7081534772182242,0.49999999999994493,11.419462161297739,295.2999999999995,0.5155875299760192,0.47961630695443647,0.004796163069544364,-0.4213792962356809,1.7645140981489333,0.19276144771045792,5000,OK
RecentCombined,AUDUSD,SWEEP_REVERSAL,293,175,-0.053242320819086225,0.1999999999990898,11.926080752811716,-15.599999999992264,0.5017064846416383,0.49829351535836175,0.0,-1.4512639335476674,1.343396387066285,0.9382123575284943,5000,OK
RecentCombined,EURAUD,BREAKOUT_CONTINUATION,442,211,0.24185520361999177,-0.20000000000020002,23.556635843049033,106.90000000003636,0.49321266968325794,0.5,0.006787330316742082,-2.1639847081137655,2.4213048134826995,0.8424315136972605,5000,OK
RecentCombined,EURAUD,SWEEP_REVERSAL,300,180,1.1623333333333983,0.05000000000032756,22.370963649432657,348.7000000000195,0.5,0.5,0.0,-1.404934455947599,3.7014011387164243,0.3745250949810038,5000,OK
RecentCombined,GBPAUD,BREAKOUT_CONTINUATION,465,221,2.4133333333333136,1.100000000000545,26.42574246719531,1122.1999999999907,0.524731182795699,0.47096774193548385,0.004301075268817204,0.19218658499754118,4.542833590790411,0.03159368126374725,5000,OK
RecentCombined,GBPAUD,SWEEP_REVERSAL,285,190,1.770175438596354,0.40000000000040004,29.792810155152278,504.4999999999609,0.512280701754386,0.48771929824561405,0.0,-1.8050900011855282,5.464035437091338,0.33833233353329334,5000,OK
ALL,USDJPY,BREAKOUT_CONTINUATION,1113,555,0.9858939802336272,0.40000000000190994,20.007348212492914,1097.300000000027,0.5103324348607368,0.4887690925426775,0.0008984725965858042,-0.17975138929749762,2.1172078607227935,0.09778044391121776,5000,OK
ALL,USDJPY,SWEEP_REVERSAL,664,433,0.14367469879511982,0.34999999999953957,16.640241499297858,95.39999999995956,0.5075301204819277,0.4924698795180723,0.0,-1.1298088657863303,1.4095706611273886,0.8292341531693661,5000,OK
ALL,EURJPY,BREAKOUT_CONTINUATION,1292,579,1.2205108359133463,0.10000000000047748,25.414459226420245,1576.9000000000433,0.5015479876160991,0.4969040247678019,0.0015479876160990713,-0.16827742346973307,2.5426637955878166,0.07618476304739052,5000,OK
ALL,EURJPY,SWEEP_REVERSAL,818,475,-0.18618581907097193,-0.0999999999990564,23.83079156386314,-152.30000000005504,0.49877750611246946,0.5012224938875306,0.0,-1.8421998811918847,1.460519713498263,0.8294341131773645,5000,OK
ALL,GBPJPY,BREAKOUT_CONTINUATION,1373,575,0.21886380189364654,0.10000000000047748,35.85804638901,300.4999999999767,0.5010924981791697,0.4981791697013838,0.0007283321194464676,-1.5660186336225486,2.004891775266199,0.8116376724655069,5000,OK
ALL,GBPJPY,SWEEP_REVERSAL,791,465,0.8816687737042009,0.39999999999906777,32.68379159707512,697.4000000000229,0.5056890012642224,0.49051833122629585,0.0037926675094816687,-1.2848785444164483,2.9879552188686085,0.4211157768446311,5000,OK
ALL,AUDJPY,BREAKOUT_CONTINUATION,1033,526,0.5421103581800898,0.7999999999995566,18.1754583182091,560.0000000000327,0.5150048402710552,0.484027105517909,0.000968054211035818,-0.6274340069224904,1.740298853754176,0.3715256948610278,5000,OK
ALL,AUDJPY,SWEEP_REVERSAL,682,431,-0.2639296187683739,-0.49999999999954525,17.033289194287846,-180.00000000003098,0.4736070381231672,0.5205278592375366,0.005865102639296188,-1.5197399528513849,1.1172471136885613,0.6876624675064987,5000,OK
ALL,AUDUSD,BREAKOUT_CONTINUATION,1076,534,0.619702602230486,0.20000000000020002,12.847051686194439,666.8000000000029,0.5055762081784386,0.491635687732342,0.0027881040892193307,-0.14365995597847048,1.3918468415341854,0.11017796440711858,5000,OK
ALL,AUDUSD,SWEEP_REVERSAL,720,441,0.23875000000001595,0.2999999999997449,11.757347826815499,171.9000000000115,0.5055555555555555,0.49444444444444446,0.0,-0.6063105811795038,1.1046610414657956,0.6032793441311738,5000,OK
ALL,EURAUD,BREAKOUT_CONTINUATION,1154,551,-0.476603119584001,-0.30000000000085514,26.379466644292076,-549.9999999999371,0.49220103986135183,0.5051993067590987,0.0025996533795493936,-1.9988646417877662,1.0961547998596826,0.5382923415316937,5000,OK
ALL,EURAUD,SWEEP_REVERSAL,762,471,0.642519685039418,0.24999999999941735,22.443664101358753,489.6000000000366,0.505249343832021,0.494750656167979,0.0,-1.0100992808817921,2.363323173367971,0.4589082183563287,5000,OK
ALL,GBPAUD,BREAKOUT_CONTINUATION,1224,551,1.1776960784313815,1.3499999999988521,35.251970724855234,1441.500000000011,0.5171568627450981,0.4812091503267974,0.0016339869281045752,-0.7477115708415802,3.094841823033744,0.23095380923815237,5000,OK
ALL,GBPAUD,SWEEP_REVERSAL,754,478,1.6152519893899009,0.20000000000131024,35.890567305585485,1217.8999999999853,0.5053050397877984,0.493368700265252,0.001326259946949602,-1.0946456061393206,4.308031541571673,0.2445510897820436,5000,OK
