Period,Pair,Event,N,RawOutcomeMeanPips
RecentCombined,AUDJPY,UP_SWEEP,162,-1.0561728395061456
RecentCombined,AUDJPY,DOWN_SWEEP,105,-1.9085714285715145
RecentCombined,AUDJPY,BOTH_SIDES,5,-5.219999999999914
RecentCombined,AUDJPY,NO_BREAK,499,0.2106212424850216
RecentCombined,AUDUSD,UP_BREAKOUT,220,0.8372727272727218
RecentCombined,AUDUSD,DOWN_BREAKOUT,197,-0.5639593908629474
RecentCombined,AUDUSD,UP_SWEEP,155,-1.0361290322580838
RecentCombined,AUDUSD,DOWN_SWEEP,138,-1.2768115942028644
RecentCombined,AUDUSD,BOTH_SIDES,7,-4.928571428571362
RecentCombined,AUDUSD,NO_BREAK,475,-0.2658947368420896
RecentCombined,EURAUD,UP_BREAKOUT,221,2.033936651583732
RecentCombined,EURAUD,DOWN_BREAKOUT,221,1.5502262443437493
RecentCombined,EURAUD,UP_SWEEP,137,-0.8240875912410235
RecentCombined,EURAUD,DOWN_SWEEP,163,1.4466257668711613
RecentCombined,EURAUD,BOTH_SIDES,4,-0.7749999999995261
RecentCombined,EURAUD,NO_BREAK,450,0.2551111111111196
RecentCombined,GBPAUD,UP_BREAKOUT,211,4.580094786729882
RecentCombined,GBPAUD,DOWN_BREAKOUT,254,-0.6133858267715986
RecentCombined,GBPAUD,UP_SWEEP,122,2.645901639344361
RecentCombined,GBPAUD,DOWN_SWEEP,163,5.075460122699221
RecentCombined,GBPAUD,BOTH_SIDES,10,-4.31000000000048
RecentCombined,GBPAUD,NO_BREAK,436,2.5502293577981674
ALL,USDJPY,UP_BREAKOUT,612,1.2926470588235413
ALL,USDJPY,DOWN_BREAKOUT,501,-0.6111776447106181
ALL,USDJPY,UP_SWEEP,348,0.19770114942531256
ALL,USDJPY,DOWN_SWEEP,316,0.5196202531644567
ALL,USDJPY,BOTH_SIDES,26,1.250000000000175
ALL,USDJPY,NO_BREAK,1136,0.3488556338028026
ALL,EURJPY,UP_BREAKOUT,717,1.4026499302650866
ALL,EURJPY,DOWN_BREAKOUT,575,-0.9933913043477847
ALL,EURJPY,UP_SWEEP,420,-0.03380952380949915
ALL,EURJPY,DOWN_SWEEP,398,-0.418341708542826
ALL,EURJPY,BOTH_SIDES,89,-0.613483146067439
ALL,EURJPY,NO_BREAK,772,-0.8819948186528844
ALL,GBPJPY,UP_BREAKOUT,709,1.4574047954865847
ALL,GBPJPY,DOWN_BREAKOUT,664,1.103614457831343
ALL,GBPJPY,UP_SWEEP,408,0.5325980392156836
ALL,GBPJPY,DOWN_SWEEP,383,2.3882506527415717
ALL,GBPJPY,BOTH_SIDES,119,-0.5924369747897832
ALL,GBPJPY,NO_BREAK,673,3.1215453194650347
ALL,AUDJPY,UP_BREAKOUT,567,0.6589065255732431
ALL,AUDJPY,DOWN_BREAKOUT,466,-0.4000000000000086
ALL,AUDJPY,UP_SWEEP,384,-0.3114583333332884
ALL,AUDJPY,DOWN_SWEEP,298,-1.0053691275168246
ALL,AUDJPY,BOTH_SIDES,13,-2.4923076923076772
ALL,AUDJPY,NO_BREAK,1245,-0.06361445783129975
ALL,AUDUSD,UP_BREAKOUT,570,0.5191228070175244
ALL,AUDUSD,DOWN_BREAKOUT,506,-0.7330039525691976
ALL,AUDUSD,UP_SWEEP,364,-0.7980769230769145
ALL,AUDUSD,DOWN_SWEEP,356,-0.33314606741568914
ALL,AUDUSD,BOTH_SIDES,18,-0.016666666666652494
ALL,AUDUSD,NO_BREAK,1131,-0.24588859416443273
ALL,EURAUD,UP_BREAKOUT,579,-0.26252158894644195
ALL,EURAUD,DOWN_BREAKOUT,575,0.6921739130433866
ALL,EURAUD,UP_SWEEP,344,-0.732848837209372
ALL,EURAUD,DOWN_SWEEP,418,0.5681818181818488
ALL,EURAUD,BOTH_SIDES,24,-10.887499999999717
ALL,EURAUD,NO_BREAK,1027,0.33271665043813314
ALL,GBPAUD,UP_BREAKOUT,556,4.57068345323745
ALL,GBPAUD,DOWN_BREAKOUT,668,1.6464071856287585
ALL,GBPAUD,UP_SWEEP,338,0.7565088757396345
ALL,GBPAUD,DOWN_SWEEP,416,3.542307692307648
ALL,GBPAUD,BOTH_SIDES,47,-9.395744680851012
ALL,GBPAUD,NO_BREAK,937,1.6455709711846227
