Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR
Short,robustness,FULL,9,9_AJ_Core2,JPY_WEAK_TREND,143,23.936666669,0.1673892774055944055944055944,1.468336268225396204265310115,0.5314685314685314685314685315,0.9874561403815789473684210526,-0.7628358208955223880597014925,,True,-0.0347805339434621981791793113
Short,robustness,FULL,9,9_AJ_Core2,JPY_STRONG_TREND,106,21.430000003,0.2021698113490566037735849057,1.531717806725058896922506291,0.5188679245283018867924528302,1.122424242454545454545454545,-0.7902614378823529411764705882,,True,-0.0347805339434621981791793113
Short,robustness,FULL,9,9_AJ_Core2,NEUTRAL_MIXED,71,17.360000002,0.2445070422816901408450704225,1.646073688202456270934127279,0.5352112676056338028169014085,1.163947368473684210526315789,-0.8142424242424242424242424242,,True,-0.0347805339434621981791793113
Short,robustness,FULL,10,10_AJ_SatA,JPY_WEAK_TREND,164,3.350,0.02042682926829268292682926829,1.185021539821053794322324091,0.4939024390243902439024390244,0.2648888888888888888888888889,-0.2235308641975308641975308642,,True,0.00451985252410663641520136131
Short,robustness,FULL,10,10_AJ_SatA,JPY_STRONG_TREND,129,2.052,0.01590697674418604651162790698,1.157241379310344827586206897,0.4573643410852713178294573643,0.2559661016949152542372881356,-0.1864285714285714285714285714,,True,0.00451985252410663641520136131
Short,robustness,FULL,10,10_AJ_SatA,NEUTRAL_MIXED,87,-5.534,-0.06360919540229885057471264368,0.6261316038373192811782191596,0.4252873563218390804597701149,0.2504864864864864864864864865,-0.29604,,True,0.00451985252410663641520136131
Short,robustness,FULL,11,11_AJ_SatB,JPY_WEAK_TREND,164,10.092727271,0.06154101994512195121951219512,1.282278159090448588747935300,0.5,0.5591130820609756097560975610,-0.4360310421707317073170731707,,True,0.01414241859896810506566604127
Short,robustness,FULL,11,11_AJ_SatB,JPY_STRONG_TREND,130,6.161818175,0.04739860134615384615384615385,1.244058763916871635746104936,0.4923076923076923076923076923,0.49076704540625,-0.3825344353181818181818181818,,True,0.01414241859896810506566604127
Short,robustness,FULL,11,11_AJ_SatB,NEUTRAL_MIXED,87,3.118181813,0.03584117026436781609195402299,1.152620806003241747476911538,0.4597701149425287356321839080,0.588727272625,-0.4347001934468085106382978723,,True,0.01414241859896810506566604127
Short,robustness,FULL,12,12_UJ_Short_Core,JPY_WEAK_TREND,234,60.013,0.2564658119658119658119658120,2.372918191800878477306002928,0.6068376068376068376068376068,0.7304577464788732394366197183,-0.4803516483516483516483516484,,True,0.0494287749287749287749287750
Short,robustness,FULL,12,12_UJ_Short_Core,JPY_STRONG_TREND,162,33.540,0.2070370370370370370370370370,1.949549855614064888737897061,0.5432098765432098765432098765,0.7825227272727272727272727273,-0.4838630136986301369863013699,,True,0.0494287749287749287749287750
Short,robustness,FULL,12,12_UJ_Short_Core,NEUTRAL_MIXED,116,35.202,0.3034655172413793103448275862,2.589470357158983157989795458,0.6120689655172413793103448276,0.8077323943661971830985915493,-0.5033409090909090909090909091,,True,0.0494287749287749287749287750
Short,robustness,FULL,14,14_UJ_Sat_3rd,JPY_WEAK_TREND,26,9.977777782,0.3837606839230769230769230769,3.020702071380398616104023184,0.6538461538461538461538461538,0.8773856211176470588235294118,-0.5486419752222222222222222222,,True,0.1153846155000000000000000000
Short,robustness,FULL,14,14_UJ_Sat_3rd,JPY_STRONG_TREND,26,6.977777779,0.2683760684230769230769230769,2.465235650973946580568884133,0.6538461538461538461538461538,0.6905882354117647058823529412,-0.5291358025555555555555555556,,True,0.1153846155000000000000000000
Short,robustness,FULL,14,14_UJ_Sat_3rd,NEUTRAL_MIXED,15,8.582222225,0.5721481483333333333333333333,4.602611941800616785615729178,0.6666666666666666666666666667,1.0964444447,-0.4764444444,LOW_SAMPLE,True,0.1153846155000000000000000000
Short,robustness,FULL,15,15_UJ_Sat_Aug,JPY_WEAK_TREND,18,2.670,0.1483333333333333333333333333,1.307780979827089337175792507,0.4444444444444444444444444444,1.418125,-0.8675,LOW_SAMPLE,False,-0.1193333333333333333333333334
Short,robustness,FULL,15,15_UJ_Sat_Aug,JPY_STRONG_TREND,30,8.030,0.2676666666666666666666666667,1.589790672052882849798016893,0.5,1.443,-0.9076666666666666666666666667,,False,-0.1193333333333333333333333334
Short,robustness,FULL,15,15_UJ_Sat_Aug,NEUTRAL_MIXED,17,10.875,0.6397058823529411764705882353,3.042253521126760563380281690,0.6470588235294117647058823529,1.472727272727272727272727273,-0.8875,LOW_SAMPLE,False,-0.1193333333333333333333333334
