Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR,Aggregation,EligibleStrategies,EligibleIDs
Long,robustness,Historical,4,4_GJ_Port_Log1,JPY_WEAK_TREND,147,2.829230768,0.01924646780952380952380952381,1.222021006751475762593342424,0.5374149659863945578231292517,0.1971178188987341772151898734,-0.1901951779850746268656716418,,True,0.00328008127591036414565826331,,,
Long,robustness,Historical,4,4_GJ_Port_Log1,JPY_STRONG_TREND,238,3.799999995,0.01596638653361344537815126050,1.128441798026524780267861647,0.5546218487394957983193277311,0.2529195803636363636363636364,-0.2791074020094339622641509434,,True,0.00328008127591036414565826331,,,
Long,robustness,Historical,4,4_GJ_Port_Log1,NEUTRAL_MIXED,123,8.125384616,0.06606003752845528455284552846,1.910681955441354666969268201,0.6178861788617886178861788618,0.2243117408947368421052631579,-0.1898363338723404255319148936,,True,0.00328008127591036414565826331,,,
Long,robustness,Historical,6,6_GJ_Old_Mon,JPY_WEAK_TREND,84,14.812,0.1763333333333333333333333333,1.571803582458307597282273008,0.5595238095238095238095238095,0.8662978723404255319148936170,-0.7001081081081081081081081081,,True,0.0564180790960451977401129943,,,
Long,robustness,Historical,6,6_GJ_Old_Mon,JPY_STRONG_TREND,118,14.150,0.1199152542372881355932203390,1.294693435521492835721426191,0.4830508474576271186440677966,1.090631578947368421052631579,-0.7871475409836065573770491803,,True,0.0564180790960451977401129943,,,
Long,robustness,Historical,6,6_GJ_Old_Mon,NEUTRAL_MIXED,65,-6.052,-0.09310769230769230769230769231,0.7667642978264220749190689070,0.4615384615384615384615384615,0.6632,-0.7413714285714285714285714286,,True,0.0564180790960451977401129943,,,
Long,robustness,Historical,7,7_GJ_Mon_Blitz,JPY_WEAK_TREND,98,-0.564615385,-0.005761381479591836734693877551,0.9530960444488297478712371032,0.5204081632653061224489795918,0.2249622926274509803921568627,-0.2561211129574468085106382979,,True,-0.07409559894166080225193525686,,,
Long,robustness,Historical,7,7_GJ_Mon_Blitz,JPY_STRONG_TREND,145,9.908461532,0.06833421746206896551724137931,1.705112764946833365289958758,0.5793103448275862068965517241,0.2852472526904761904761904762,-0.2303656999016393442622950820,,True,-0.07409559894166080225193525686,,,
Long,robustness,Historical,7,7_GJ_Mon_Blitz,NEUTRAL_MIXED,73,0.073846150,0.001011591095890410958904109589,1.007469654137283090545600106,0.4657534246575342465753424658,0.2929411764411764705882352941,-0.2534911243333333333333333333,,True,-0.07409559894166080225193525686,,,
Long,robustness,Historical,8,8_AJ_Core1,JPY_WEAK_TREND,98,1.438571428,0.01467930028571428571428571429,1.076987767552339636581768507,0.5408163265306122448979591837,0.3797035040377358490566037736,-0.4152380952444444444444444444,,True,-0.05972383081702544031311154598,,,
Long,robustness,Historical,8,8_AJ_Core1,JPY_STRONG_TREND,146,10.862857141,0.07440313110273972602739726027,1.377838509225889495010372905,0.5342465753424657534246575342,0.5078571428589743589743589744,-0.4227941176764705882352941176,,True,-0.05972383081702544031311154598,,,
Long,robustness,Historical,8,8_AJ_Core1,NEUTRAL_MIXED,73,7.502857142,0.1027788649589041095890410959,1.635450695693691537393218782,0.5616438356164383561643835616,0.4709756097073170731707317073,-0.36897321425,,True,-0.05972383081702544031311154598,,,
Long,robustness,Historical,13,13_UJ_Fix_MidWeek,JPY_WEAK_TREND,33,2.573684211,0.07799043063636363636363636364,3.224749773436021331536856536,0.6060606060606060606060606061,0.1865263158,-0.08898785423076923076923076923,,True,0.02154306222564935064935064935,,,
Long,robustness,Historical,13,13_UJ_Fix_MidWeek,JPY_STRONG_TREND,56,3.161052631,0.05644736841071428571428571429,2.227217000033442950547595879,0.625,0.1639097744285714285714285714,-0.1226566416190476190476190476,,True,0.02154306222564935064935064935,,,
Long,robustness,Historical,13,13_UJ_Fix_MidWeek,NEUTRAL_MIXED,30,1.971578950,0.06571929833333333333333333333,2.286401101413297384115362394,0.5333333333333333333333333333,0.219013158,-0.1094736841428571428571428571,,True,0.02154306222564935064935064935,,,
Long,robustness,Historical,16,16_UJ_T10A,JPY_WEAK_TREND,10,1.708888889,0.1708888889,2.264802631765197584849111643,0.7,0.4371428571428571428571428571,-0.4503703703333333333333333333,LOW_SAMPLE,False,0.08644444436153846153846153846,,,
Long,robustness,Historical,16,16_UJ_T10A,JPY_STRONG_TREND,13,1.097777779,0.08444444453846153846153846154,1.422222222692307692307692308,0.6153846153846153846153846154,0.462222222375,-0.520000000,LOW_SAMPLE,False,0.08644444436153846153846153846,,,
Long,robustness,Historical,16,16_UJ_T10A,NEUTRAL_MIXED,9,3.393333332,0.3770370368888888888888888889,6.941634240066465805460401908,0.6666666666666666666666666667,0.6607407405,-0.1903703703333333333333333333,LOW_SAMPLE,False,0.08644444436153846153846153846,,,
