Dataset,RiskPct,RiskPctLabel,Month,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021-07,130,595077169.0,608039192.0,12962023.0,2.18,94248060.0,14.48
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-09,31,649719.0,664007.0,14288.0,2.2,48617.0,7.05
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2024-07,97,1214603673.0,1242700919.0,28097247.0,2.31,140238549.0,10.2
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-02,41,493733.0,505313.0,11580.0,2.35,24354.0,4.77
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021-02,95,16908718.0,17317143.0,408425.0,2.42,1609589.0,8.77
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-01,15,826928.0,847161.0,20234.0,2.45,37212.0,4.5
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021-09,123,617621493.0,633200044.0,15578551.0,2.52,83516026.0,12.68
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2024-08,24,107810911.0,110564739.0,2753827.0,2.55,6133819.0,5.32
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-02,9,717410.0,736084.0,18675.0,2.6,11131.0,1.51
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2025-08,65,30751369002.0,31566346028.0,814977026.0,2.65,4554513691.0,12.77
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2024-11,76,1615837811.0,1659362599.0,43524788.0,2.69,149523472.0,9.01
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015-09,31,701624.0,720693.0,19068.0,2.72,71055.0,9.37
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017-10,86,2530951.0,2602581.0,71630.0,2.83,250767.0,9.32
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025-06,73,156273328.0,160754163.0,4480835.0,2.87,13569155.0,8.3
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025-05,61,151895581.0,156273328.0,4377747.0,2.88,11604800.0,7.49
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2024-07,97,11932885956.0,12278085898.0,345199942.0,2.89,1892147605.0,13.46
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-12,35,36241625.0,37288639.0,1047015.0,2.89,2802482.0,7.47
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-05,59,555713.0,572140.0,16427.0,2.96,57169.0,9.29
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2026-01,78,245398313.0,252803660.0,7405347.0,3.02,7425394.0,2.9
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-04,79,29482140.0,30375014.0,892874.0,3.03,2179001.0,7.18
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-02,72,27433011.0,28276204.0,843193.0,3.07,1105055.0,3.9
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-05,121,3840811.0,3959751.0,118939.0,3.1,468937.0,11.17
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-03,2,10946659.0,11288873.0,342213.0,3.13,509079.0,4.4
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025-02,53,1995998077.0,2058432805.0,62434728.0,3.13,98997777.0,4.86
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025-09,104,176568461.0,182128877.0,5560416.0,3.15,16259889.0,8.67
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2016-01,15,960870.0,991268.0,30398.0,3.16,57652.0,6.0
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018-06,94,3959751.0,4086245.0,126494.0,3.19,248673.0,5.92
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-11,36,35056402.0,36241625.0,1185222.0,3.38,2913566.0,7.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-03,102,7197413.0,7442474.0,245061.0,3.4,359913.0,4.92
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019-01,83,6245917.0,6460049.0,214132.0,3.43,328617.0,4.88
