StrategyNo,Strategy,Year,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
13,13_UJ_Fix_MidWeek,2026,15,-0.528421054,-0.03522807026666666666666666667,0.7609523803560997732994190692,0.6666666666666666666666666667,0.1682105262,-0.4421052632,1.892631579,2,2,0.1333333333333333333333333333,0,0,13,0.8666666666666666666666666667,0,0
14,14_UJ_Sat_3rd,2015,8,3.793333334,0.47416666675,9.286407764424073900765012670,0.875,0.6073015874285714285714285714,-0.457777778,0.457777778,1,0,0,1,0.125,7,0.875,0,0
14,14_UJ_Sat_3rd,2016,6,1.202222223,0.2003703705,1.800295858624304121098269840,0.5,0.9014814816666666666666666667,-0.5007407406666666666666666667,1.502222222,3,1,0.1666666666666666666666666667,1,0.1666666666666666666666666667,4,0.6666666666666666666666666667,0,0
14,14_UJ_Sat_3rd,2017,5,1.493333334,0.2986666668,2.493333334,0.8,0.6233333335,-1.0,1.000000000,1,1,0.2,0,0,4,0.8,0,0
14,14_UJ_Sat_3rd,2018,6,-0.848888889,-0.1414814815,0.5599078340691297330605340016,0.3333333333333333333333333333,0.540000000,-0.48222222225,1.211111111,3,1,0.1666666666666666666666666667,0,0,5,0.8333333333333333333333333333,0,0
14,14_UJ_Sat_3rd,2019,6,1.675555555,0.2792592591666666666666666667,4.442922370929505225390749846,0.8333333333333333333333333333,0.4324444444,-0.486666667,0.486666667,1,0,0,0,0,6,1,0,0
14,14_UJ_Sat_3rd,2020,7,1.271111112,0.1815873017142857142857142857,2.317972351759434263483610260,0.4285714285714285714285714286,0.7451851853333333333333333333,-0.241111111,0.964444444,4,0,0,0,0,7,1,0,0
14,14_UJ_Sat_3rd,2021,5,-0.124444445,-0.024888889,0.875555555,0.8,0.21888888875,-1.0,1.000000000,1,1,0.2,0,0,4,0.8,0,0
14,14_UJ_Sat_3rd,2022,6,2.362222223,0.3937037038333333333333333333,2.964879853135837311115681573,0.5,1.188148148333333333333333333,-0.4007407406666666666666666667,1.028888889,2,1,0.1666666666666666666666666667,2,0.3333333333333333333333333333,3,0.5,0,0
14,14_UJ_Sat_3rd,2023,5,6.608888891,1.3217777782,Infinity,1,1.3217777782,,0,0,0,0,4,0.8,1,0.2,0,0
14,14_UJ_Sat_3rd,2024,6,6.628888891,1.104814815166666666666666667,Infinity,1,1.104814815166666666666666667,,0,0,0,0,4,0.6666666666666666666666666667,2,0.3333333333333333333333333333,0,0
14,14_UJ_Sat_3rd,2025,7,3.535555557,0.5050793652857142857142857143,2.7677777785,0.7142857142857142857142857143,1.1071111114,-1.0,1.000000000,1,2,0.2857142857142857142857142857,3,0.4285714285714285714285714286,2,0.2857142857142857142857142857,0,0
14,14_UJ_Sat_3rd,2026,6,0.635555556,0.105925926,1.412698412987012987012987013,0.5,0.7251851853333333333333333333,-0.5133333333333333333333333333,1.540000000,3,0,0,1,0.1666666666666666666666666667,5,0.8333333333333333333333333333,0,0
15,15_UJ_Sat_Aug,2015,5,2.500,0.500,6.376344086021505376344086022,0.8,0.74125,-0.465,0.465,1,0,0,1,0.2,4,0.8,0,0
15,15_UJ_Sat_Aug,2016,7,4.00,0.5714285714285714285714285714,2.333333333333333333333333333,0.5714285714285714285714285714,1.75,-1.0,1.0,1,3,0.4285714285714285714285714286,4,0.5714285714285714285714285714,0,0,0,0
15,15_UJ_Sat_Aug,2017,7,0.545,0.07785714285714285714285714286,1.165151515151515151515151515,0.4285714285714285714285714286,1.281666666666666666666666667,-0.825,2.0,2,3,0.4285714285714285714285714286,2,0.2857142857142857142857142857,2,0.2857142857142857142857142857,0,0
15,15_UJ_Sat_Aug,2018,6,-0.125,-0.02083333333333333333333333333,0.9462365591397849462365591398,0.5,0.7333333333333333333333333333,-0.775,2.325,3,2,0.3333333333333333333333333333,0,0,4,0.6666666666666666666666666667,0,0
15,15_UJ_Sat_Aug,2019,6,3.930,0.655,3.988593155893536121673003802,0.6666666666666666666666666667,1.31125,-0.6575,1.000,1,1,0.1666666666666666666666666667,2,0.3333333333333333333333333333,3,0.5,0,0
15,15_UJ_Sat_Aug,2020,5,-0.945,-0.189,0.685,0.4,1.0275,-1.0,2.0,2,3,0.6,1,0.2,1,0.2,0,0
15,15_UJ_Sat_Aug,2021,6,3.670,0.6116666666666666666666666667,6.437037037037037037037037037,0.6666666666666666666666666667,1.08625,-0.3375,0.620,1,0,0,1,0.1666666666666666666666666667,5,0.8333333333333333333333333333,0,0
15,15_UJ_Sat_Aug,2022,6,-0.50,-0.08333333333333333333333333333,0.875,0.3333333333333333333333333333,1.75,-1.0,3.0,3,4,0.6666666666666666666666666667,2,0.3333333333333333333333333333,0,0,0,0
15,15_UJ_Sat_Aug,2023,6,-0.50,-0.08333333333333333333333333333,0.875,0.3333333333333333333333333333,1.75,-1.0,2.0,2,4,0.6666666666666666666666666667,2,0.3333333333333333333333333333,0,0,0,0
15,15_UJ_Sat_Aug,2024,6,5.00,0.8333333333333333333333333333,3.5,0.6666666666666666666666666667,1.75,-1.0,1.0,1,2,0.3333333333333333333333333333,4,0.6666666666666666666666666667,0,0,0,0
15,15_UJ_Sat_Aug,2025,5,0.50,0.10,1.166666666666666666666666667,0.4,1.75,-1.0,2.00,2,3,0.6,2,0.4,0,0,0,0
15,15_UJ_Sat_Aug,2026,5,6.00,1.20,7.0,0.8,1.75,-1.0,1.00,1,1,0.2,4,0.8,0,0,0,0
16,16_UJ_T10A,2015,7,-0.331111111,-0.04730158728571428571428571429,0.7950481431788038120553497078,0.5714285714285714285714285714,0.32111111125,-0.5385185186666666666666666667,1.000000000,1,1,0.1428571428571428571428571429,0,0,6,0.8571428571428571428571428571,0,0
16,16_UJ_T10A,2016,4,2.064444445,0.51611111125,Infinity,1,0.51611111125,,0,0,0,0,0,0,4,1,0,0
16,16_UJ_T10A,2017,6,2.035555555,0.3392592591666666666666666667,3.035555555,0.8333333333333333333333333333,0.607111111,-1.0,1.0,1,1,0.1666666666666666666666666667,0,0,5,0.8333333333333333333333333333,0,0
16,16_UJ_T10A,2018,4,0.337777778,0.0844444445,1.527777778125,0.5,0.488888889,-0.320000000,0.506666667,1,0,0,0,0,4,1,0,0
16,16_UJ_T10A,2019,5,-0.495555556,-0.0991111112,0.6553323026807832607912236073,0.4,0.471111111,-0.4792592593333333333333333333,1.028888889,2,1,0.2,0,0,4,0.8,0,0
16,16_UJ_T10A,2020,7,1.873333333,0.2676190475714285714285714286,2.713414634363845925110928636,0.5714285714285714285714285714,0.7416666665,-0.3644444443333333333333333333,1.071111111,2,0,0,1,0.1428571428571428571428571429,6,0.8571428571428571428571428571,0,0
16,16_UJ_T10A,2021,4,0.157777778,0.0394444445,1.449367089382711104235035160,0.5,0.2544444445,-0.1755555555,0.317777778,1,0,0,0,0,4,1,0,0
16,16_UJ_T10A,2022,5,0.091111111,0.0182222222,1.126153846038816568011943559,0.6,0.271111111,-0.361111111,0.722222222,2,0,0,0,0,5,1,0,0
16,16_UJ_T10A,2023,5,2.706666667,0.5413333334,Infinity,1,0.5413333334,,0,0,0,0,0,0,5,1,0,0
16,16_UJ_T10A,2024,4,1.122222222,0.2805555555,6.61111111,0.5,0.661111111,-0.100000000,0.168888889,1,0,0,0,0,4,1,0,0
16,16_UJ_T10A,2025,5,1.906666666,0.3813333332,2.906666666,0.8,0.7266666665,-1.0,1.000000000,1,1,0.2,1,0.2,3,0.6,0,0
16,16_UJ_T10A,2026,4,0.275555556,0.068888889,1.207357859848883122086213786,0.5,0.8022222225,-0.6644444445,1.000000000,1,1,0.25,0,0,3,0.75,0,0
17,17_EA_1B_Wed_Short,2015,32,2.142857142,0.0669642856875,1.180505415096769148559450150,0.5625,0.7785714285,-0.8479591836428571428571428571,3.977142858,3,11,0.34375,0,0,21,0.65625,0,0
17,17_EA_1B_Wed_Short,2016,33,5.291428570,0.1603463203030303030303030303,1.546312684145769702694514346,0.5757575757575757575757575758,0.7882706766842105263157894737,-0.6918367347857142857142857143,3.000000000,3,8,0.2424242424242424242424242424,2,0.06060606060606060606060606061,23,0.6969696969696969696969696970,0,0
17,17_EA_1B_Wed_Short,2017,28,7.120000001,0.2542857143214285714285714286,2.198076923216392381653452106,0.7142857142857142857142857143,0.6531428572,-0.742857142875,2.697142857,3,4,0.1428571428571428571428571429,1,0.03571428571428571428571428571,23,0.8214285714285714285714285714,0,0
17,17_EA_1B_Wed_Short,2018,28,2.301428571,0.08219387753571428571428571429,1.347048685869046662163014649,0.5,0.6380612244285714285714285714,-0.4736734693571428571428571429,2.678571429,4,3,0.1071428571428571428571428571,0,0,25,0.8928571428571428571428571429,0,0
17,17_EA_1B_Wed_Short,2019,28,0.519999999,0.01857142853571428571428571429,1.090795709465084204120965198,0.5,0.4462244897857142857142857143,-0.4090816327142857142857142857,2.364285715,4,2,0.07142857142857142857142857143,0,0,26,0.9285714285714285714285714286,0,0
17,17_EA_1B_Wed_Short,2020,35,10.787142857,0.3082040816285714285714285714,2.066676084268965341229181976,0.6,0.9952380951904761904761904762,-0.7223469387142857142857142857,2.084285714,2,9,0.2571428571428571428571428571,1,0.02857142857142857142857142857,25,0.7142857142857142857142857143,0,0
17,17_EA_1B_Wed_Short,2021,31,7.462857143,0.2407373271935483870967741935,2.608374384267241379310344828,0.6451612903225806451612903226,0.60514285715,-0.4218181818181818181818181818,1.280000000,2,3,0.09677419354838709677419354839,0,0,28,0.9032258064516129032258064516,0,0
