StrategyNo,Strategy,Period,Start,EndExclusive,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
9,9_AJ_Core2,RecentCombined,2022-01-01,2026-01-01,114,24.653333335,0.2162573099561403508771929825,1.550092971397916749933819883,0.5350877192982456140350877193,1.138852459049180327868852459,-0.8455974842830188679245283019,7.590000000,4,41,0.3596491228070175438596491228,12,0.1052631578947368421052631579,61,0.5350877192982456140350877193,0,0
9,9_AJ_Core2,Monitor2026,2026-01-01,2026-09-10,20,-2.636666666,-0.1318333333,0.7432651737098344693281402142,0.35,1.090476190571428571428571429,-0.790000000,3.836666667,3,8,0.4,1,0.05,11,0.55,0,0
10,10_AJ_SatA,Historical,2015-01-01,2022-01-01,239,-0.444,-0.001857740585774058577405857741,0.9833345844906538548157045267,0.4560669456066945606694560669,0.2403486238532110091743119266,-0.2065271317829457364341085271,7.084,10,4,0.01673640167364016736401673640,30,0.1255230125523012552301255230,205,0.8577405857740585774058577406,0,0
10,10_AJ_SatA,RecentA,2022-01-01,2024-01-01,70,3.034,0.04334285714285714285714285714,1.353695500116577290743763115,0.5285714285714285714285714286,0.3138378378378378378378378378,-0.2599393939393939393939393939,1.508,4,1,0.01428571428571428571428571429,16,0.2285714285714285714285714286,53,0.7571428571428571428571428571,0,0
10,10_AJ_SatA,RecentB,2024-01-01,2026-01-01,69,1.224,0.01773913043478260869565217391,1.146868250539956803455723542,0.4637681159420289855072463768,0.2986875,-0.2252432432432432432432432432,3.090,6,0,0,13,0.1884057971014492753623188406,56,0.8115942028985507246376811594,0,0
10,10_AJ_SatA,RecentCombined,2022-01-01,2026-01-01,139,4.258,0.03063309352517985611510791367,1.251773888363292336802270577,0.4964028776978417266187050360,0.3068115942028985507246376812,-0.2416,3.090,6,1,0.007194244604316546762589928058,29,0.2086330935251798561151079137,109,0.7841726618705035971223021583,0,0
10,10_AJ_SatA,Monitor2026,2026-01-01,2026-09-10,25,-0.940,-0.0376,0.7269029633933759442184776293,0.44,0.2274545454545454545454545455,-0.2647692307692307692307692308,2.446,3,0,0,3,0.12,22,0.88,0,0
11,11_AJ_SatB,Historical,2015-01-01,2022-01-01,238,17.292727262,0.07265851790756302521008403361,1.372965765756330813384229133,0.5084033613445378151260504202,0.5261006761570247933884297521,-0.3962859363504273504273504274,5.985454548,8,14,0.05882352941176470588235294118,7,0.02941176470588235294117647059,217,0.9117647058823529411764705882,0,0
11,11_AJ_SatB,RecentA,2022-01-01,2024-01-01,70,5.765454543,0.08236363632857142857142857143,1.334634866872381022220748152,0.5142857142857142857142857143,0.6387373736944444444444444444,-0.5067379679411764705882352941,3.009090908,5,9,0.1285714285714285714285714286,4,0.05714285714285714285714285714,57,0.8142857142857142857142857143,0,0
11,11_AJ_SatB,RecentB,2024-01-01,2026-01-01,70,2.592727272,0.03703896102857142857142857143,1.169701297110195183828515949,0.4714285714285714285714285714,0.5415426996969696969696969697,-0.4129238329189189189189189189,3.349090910,7,4,0.05714285714285714285714285714,3,0.04285714285714285714285714286,63,0.9,0,0
11,11_AJ_SatB,RecentCombined,2022-01-01,2026-01-01,140,8.358181815,0.05970129867857142857142857143,1.257117288335318143333848243,0.4928571428571428571428571429,0.5922529643913043478260869565,-0.4578489116619718309859154930,3.349090910,7,13,0.09285714285714285714285714286,7,0.05,120,0.8571428571428571428571428571,0,0
11,11_AJ_SatB,Monitor2026,2026-01-01,2026-09-10,25,-2.545454546,-0.10181818184,0.6185286102880710377266455979,0.36,0.4585858585555555555555555556,-0.4170454545625,5.085454546,6,2,0.08,0,0,23,0.92,0,0
12,12_UJ_Short_Core,Historical,2015-01-01,2022-01-01,327,60.354,0.1845688073394495412844036697,2.084976719938159526848472864,0.6024464831804281345565749235,0.5887360406091370558375634518,-0.4312170542635658914728682171,4.090,4,27,0.08256880733944954128440366972,7,0.02140672782874617737003058104,293,0.8960244648318042813455657492,0,0
12,12_UJ_Short_Core,RecentA,2022-01-01,2024-01-01,92,43.736,0.4753913043478260869565217391,3.387857610832059401616073378,0.6304347826086956521739130435,1.069862068965517241379310345,-0.5550303030303030303030303030,2.265,4,11,0.1195652173913043478260869565,11,0.1195652173913043478260869565,70,0.7608695652173913043478260870,0,0
12,12_UJ_Short_Core,RecentB,2024-01-01,2026-01-01,94,28.388,0.302,2.032328448307211171315320557,0.5531914893617021276595744681,1.07475,-0.6547380952380952380952380952,5.000,5,19,0.2021276595744680851063829787,11,0.1170212765957446808510638298,64,0.6808510638297872340425531915,0,0
12,12_UJ_Short_Core,RecentCombined,2022-01-01,2026-01-01,186,72.124,0.3877634408602150537634408602,2.574244243151806177016261050,0.5913978494623655913978494624,1.072172727272727272727272727,-0.6108666666666666666666666667,5.000,5,30,0.1612903225806451612903225806,22,0.1182795698924731182795698925,134,0.7204301075268817204301075269,0,0
12,12_UJ_Short_Core,Monitor2026,2026-01-01,2026-09-10,33,-3.125,-0.09469696969696969696969696970,0.6426529445397369925671812464,0.3939393939393939393939393939,0.4323076923076923076923076923,-0.4602631578947368421052631579,4.376,6,5,0.1515151515151515151515151515,0,0,28,0.8484848484848484848484848485,0,0
13,13_UJ_Fix_MidWeek,Historical,2015-01-01,2022-01-01,132,9.896842108,0.07497607657575757575757575758,2.737892791945432057586451693,0.6136363636363636363636363636,0.192488629,-0.1116615066862745098039215686,0.551578947,2,0,0,0,0,132,1,0,0
