Period,Method,Scope,ScopeType,StrategyNo,Strategy,Group,Aggregation,Eligible,EligibleStrategies,EligibleIDs,PrespecifiedSubgroup,Support,Q1AvgR,Q2AvgR,Q3AvgR,Q4AvgR,Q5AvgR,Q5MinusQ1AvgR,Q2MinusQ1AvgR,Q3MinusQ2AvgR,Q4MinusQ3AvgR,Q5MinusQ4AvgR,Spearman,AdjacentIncreases,StrictlyIncreasing,Nondecreasing,Complete,CILow,CIHigh,ValidBootstraps,CombinedConclusion
RecentB,robustness,3,Strategy,3.0,3_EJ_NightBlitz_21,,trade_weighted,True,1,3,False,DESCRIPTIVE_ONLY,0.14456410259615385,0.10673873875675673,0.044392156794117635,0.054787878772727276,0.1363333332142857,-0.008230769381868147,-0.03782536383939712,-0.06234658196263909,0.010395721978609641,0.08154545444155842,-0.3,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,4,Strategy,4.0,4_GJ_Port_Log1,,trade_weighted,True,1,4,False,DESCRIPTIVE_ONLY,-0.002153846145454547,-0.0005769231000000104,0.12203473932258063,0.080961538375,0.08571906343478262,0.08787290958023718,0.0015769230454545364,0.12261166242258065,-0.04107320094758063,0.004757525059782622,0.7,3.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,5,Strategy,5.0,5_GJ_Port_Log2,,trade_weighted,True,1,5,False,DESCRIPTIVE_ONLY,0.027480438225352108,-0.09204861112500003,0.12717171718181816,0.2172335600816326,-0.06486928102941178,-0.09234971925476389,-0.11952904935035213,0.2192203283068182,0.09006184289981445,-0.2821028411110444,0.19999999999999998,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,6,Strategy,6.0,6_GJ_Old_Mon,,trade_weighted,False,0,,True,DESCRIPTIVE_ONLY,0.14011428571428572,0.3804444444444445,0.1532,0.4601176470588235,1.174923076923077,1.0348087912087913,0.24033015873015875,-0.22724444444444447,0.3069176470588235,0.7148054298642534,0.8999999999999998,3.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,7,Strategy,7.0,7_GJ_Mon_Blitz,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,0.048421052552631585,0.20289940823076918,-0.025029585769230762,0.10744755245454543,0.2962051283333334,0.24778407578070183,0.1544783556781376,-0.22792899399999994,0.1324771382237762,0.18875757587878797,0.49999999999999994,3.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,8,Strategy,8.0,8_AJ_Core1,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,0.22693877546428573,-0.09697478994117646,0.026666666666666665,0.23396825405555552,0.3098496241052632,0.08291084864097745,-0.3239135654054622,0.12364145660784312,0.20730158738888885,0.07588137004970766,0.7,3.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,9,Strategy,9.0,9_AJ_Core2,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,0.2030303030909091,-0.4243333334,0.3983333334166666,0.655925926,-0.3891111111333333,-0.5921414142242424,-0.6273636364909091,0.8226666668166667,0.2575925925833334,-1.0450370371333333,0.19999999999999998,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,10,Strategy,10.0,10_AJ_SatA,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,-0.006499999999999995,0.0735,0.06099999999999999,-0.039714285714285716,0.01800000000000001,0.024500000000000004,0.07999999999999999,-0.012500000000000004,-0.1007142857142857,0.057714285714285725,-0.19999999999999998,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,11,Strategy,11.0,11_AJ_SatB,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,-0.1886631015882353,0.03999999999999999,0.36000000008333327,0.11038961035714283,-0.03636363646666667,0.1522994651215686,0.22866310158823527,0.3200000000833333,-0.24961038972619043,-0.1467532468238095,0.3,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,12,Strategy,12.0,12_UJ_Short_Core,,trade_weighted,False,0,,True,DESCRIPTIVE_ONLY,0.241,0.18616666666666667,0.6470588235294118,-0.10064000000000001,0.8145714285714287,0.5735714285714287,-0.05483333333333332,0.4608921568627451,-0.7476988235294117,0.9152114285714288,0.3,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,13,Strategy,13.0,13_UJ_Fix_MidWeek,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,0.08070175425,0.38947368419999995,0.021520467666666664,-0.046315789499999996,0.539736842,0.45903508775000007,0.30877192994999997,-0.3679532165333333,-0.06783625716666666,0.5860526315000001,0.09999999999999999,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,14,Strategy,14.0,14_UJ_Sat_3rd,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,1.1173333336,0.703703704,0.037777778,0.703703704,0.317777778,-0.7995555556,-0.41362962959999994,-0.665925926,0.665925926,-0.38592592600000003,-0.6155870112510925,1.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,15,Strategy,15.0,15_UJ_Sat_Aug,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,,,0.1,,0.8333333333333334,,,,,,,,False,False,False,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,16,Strategy,16.0,16_UJ_T10A,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,,0.1744444445,0.15111111099999996,-0.027777777999999996,0.8111111110000001,,,-0.023333333500000025,-0.17888888899999997,0.8388888890000001,,,False,False,False,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,17,Strategy,17.0,17_EA_1B_Wed_Short,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,0.1865306122857143,0.16349206355555554,0.2723809523333333,-0.11528571429999998,0.03587301588888889,-0.1506575963968254,-0.02303854873015876,0.10888888877777778,-0.38766666663333327,0.15115873018888887,-0.6,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,18,Strategy,18.0,18_EA_2_MonWed_Short,,trade_weighted,True,1,18,False,DESCRIPTIVE_ONLY,0.03573333338000001,-0.03894586894871795,-0.0784343434090909,0.10577777776000001,0.24713261651612903,0.21139928313612902,-0.07467920232871797,-0.03948847446037295,0.18421212116909091,0.14135483875612903,0.6,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,19,Strategy,19.0,19_EA_3_WedThu_Long,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,-0.033955555559999996,0.16783950619444443,0.01322222219999999,-0.05888888899999999,0.17714975852173914,0.21110531408173913,0.20179506175444442,-0.15461728399444444,-0.07211111119999998,0.23603864752173914,0.3,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,20,Strategy,20.0,20_EA_1A_MonTue_Short,,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,-0.16716666666666666,-0.12937500000000002,-0.010736842105263161,0.21788888888888888,0.28350000000000003,0.45066666666666666,0.03779166666666664,0.11863815789473686,0.22862573099415204,0.06561111111111115,0.9999999999999999,4.0,True,True,True,,,0,DESCRIPTIVE_ONLY
