Period,Method,Scope,Quintile,Trades,TotalTrades,CoveragePct
Monitor2026,robustness,18,Q2,12,61,19.672131147540984
Monitor2026,robustness,18,Q3,10,61,16.39344262295082
Monitor2026,robustness,18,Q4,17,61,27.86885245901639
Monitor2026,robustness,18,Q5,8,61,13.114754098360656
Monitor2026,robustness,18,INSUFFICIENT_VOL_HISTORY,0,61,0.0
Monitor2026,robustness,19,Q1,10,44,22.727272727272727
Monitor2026,robustness,19,Q2,15,44,34.090909090909086
Monitor2026,robustness,19,Q3,3,44,6.8181818181818175
Monitor2026,robustness,19,Q4,8,44,18.181818181818183
Monitor2026,robustness,19,Q5,8,44,18.181818181818183
Monitor2026,robustness,19,INSUFFICIENT_VOL_HISTORY,0,44,0.0
Monitor2026,robustness,20,Q1,18,54,33.33333333333333
Monitor2026,robustness,20,Q2,8,54,14.814814814814813
Monitor2026,robustness,20,Q3,10,54,18.51851851851852
Monitor2026,robustness,20,Q4,13,54,24.074074074074073
Monitor2026,robustness,20,Q5,5,54,9.25925925925926
Monitor2026,robustness,20,INSUFFICIENT_VOL_HISTORY,0,54,0.0
Monitor2026,robustness,21,Q1,15,35,42.857142857142854
Monitor2026,robustness,21,Q2,7,35,20.0
Monitor2026,robustness,21,Q3,6,35,17.142857142857142
Monitor2026,robustness,21,Q4,5,35,14.285714285714285
Monitor2026,robustness,21,Q5,2,35,5.714285714285714
Monitor2026,robustness,21,INSUFFICIENT_VOL_HISTORY,0,35,0.0
Monitor2026,robustness,22,Q1,8,29,27.586206896551722
Monitor2026,robustness,22,Q2,8,29,27.586206896551722
Monitor2026,robustness,22,Q3,4,29,13.793103448275861
Monitor2026,robustness,22,Q4,6,29,20.689655172413794
Monitor2026,robustness,22,Q5,3,29,10.344827586206897
Monitor2026,robustness,22,INSUFFICIENT_VOL_HISTORY,0,29,0.0
Monitor2026,robustness,23,Q1,10,27,37.03703703703704
Monitor2026,robustness,23,Q2,5,27,18.51851851851852
Monitor2026,robustness,23,Q3,6,27,22.22222222222222
Monitor2026,robustness,23,Q4,3,27,11.11111111111111
Monitor2026,robustness,23,Q5,3,27,11.11111111111111
Monitor2026,robustness,23,INSUFFICIENT_VOL_HISTORY,0,27,0.0
Monitor2026,robustness,24,Q1,10,27,37.03703703703704
Monitor2026,robustness,24,Q2,5,27,18.51851851851852
Monitor2026,robustness,24,Q3,6,27,22.22222222222222
Monitor2026,robustness,24,Q4,3,27,11.11111111111111
Monitor2026,robustness,24,Q5,3,27,11.11111111111111
Monitor2026,robustness,24,INSUFFICIENT_VOL_HISTORY,0,27,0.0
Monitor2026,robustness,25,Q1,10,61,16.39344262295082
Monitor2026,robustness,25,Q2,10,61,16.39344262295082
Monitor2026,robustness,25,Q3,6,61,9.836065573770492
Monitor2026,robustness,25,Q4,20,61,32.78688524590164
Monitor2026,robustness,25,Q5,15,61,24.59016393442623
Monitor2026,robustness,25,INSUFFICIENT_VOL_HISTORY,0,61,0.0
Monitor2026,robustness,26,Q1,5,30,16.666666666666664
Monitor2026,robustness,26,Q2,18,30,60.0
Monitor2026,robustness,26,Q3,2,30,6.666666666666667
Monitor2026,robustness,26,Q4,1,30,3.3333333333333335
Monitor2026,robustness,26,Q5,4,30,13.333333333333334
Monitor2026,robustness,26,INSUFFICIENT_VOL_HISTORY,0,30,0.0
Monitor2026,robustness,27,Q1,10,35,28.57142857142857
Monitor2026,robustness,27,Q2,7,35,20.0
Monitor2026,robustness,27,Q3,5,35,14.285714285714285
Monitor2026,robustness,27,Q4,11,35,31.428571428571427
Monitor2026,robustness,27,Q5,2,35,5.714285714285714
Monitor2026,robustness,27,INSUFFICIENT_VOL_HISTORY,0,35,0.0
Monitor2026,robustness,28,Q1,12,35,34.285714285714285
Monitor2026,robustness,28,Q2,10,35,28.57142857142857
Monitor2026,robustness,28,Q3,6,35,17.142857142857142
Monitor2026,robustness,28,Q4,4,35,11.428571428571429
Monitor2026,robustness,28,Q5,3,35,8.571428571428571
Monitor2026,robustness,28,INSUFFICIENT_VOL_HISTORY,0,35,0.0
